,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,35.906262626262626,34.239999999999995,36.61333333333333,34.77333333333333,30.946262626262625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626,0.0,15.981241941452026,15.91951608627837,15.561627862837626,15.769449234008789,16.07284162428711,0,0,0,0,0,0,0,0,0,0,0.043469905853271484,,,0
1,44.21333333333333,43.72,45.57333333333333,39.623333333333336,42.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3803,0.0,15.937276262372803,15.362797592162086,15.943762925003052,15.7139310836292,15.382523775100708,0,0,0,0,0,0,0,0,0,0,0.046286254553222626,,,0
2,46.54626262626262,50.853333333333325,49.10626262626262,50.32,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3862,0.0,16.21724510192871,15.79093861579895,16.03876281462623,16.018731594085693,15.739846262971802,0,0,0,0,0,0,0,0,0,0,0.04626279432628223,,,0
3,54.96,53.413333333333334,54.84,52.959999999999994,52.17333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4179,0.0,15.914935827255249,16.25506229536238,16.07227897624043,15.895151138305624,16.250628736953735,0,0,0,0,0,0,0,0,0,0,0.0458623962590332,,,0
4,59.21333333333333,54.346262626262624,57.36,55.06262626262626,56.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4718,0.0,15.581324338912962,15.931500434875488,15.89517879486084,16.28008198738098,16.15089225769043,0,0,0,0,0,0,0,0,0,0,0.04626262533569336,,,0
5,59.62,60.093333333333334,57.21333333333334,57.879999999999995,53.25333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.0,15.770299434621862,16.207120180130005,15.889012813562115,16.04362462309143,16.43624813041627,0,0,0,0,0,0,0,0,0,0,0.0440062244934082,,,0
6,57.986262626262625,60.28,60.546262626262624,58.93333333333334,58.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4846,0.0,16.41154956217627,15.732346273147583,16.128543376922607,16.27362712425232,15.82018756262455,0,0,0,0,0,0,0,0,0,0,0.04547381401062012,,,0
7,59.41333333333333,59.62626262626262,55.053333333333335,60.41333333333333,62.346262626262624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4762,0.0,16.098369359970093,16.007282257080078,16.299862530562354,15.712032079696255,15.70362114906211,0,0,0,0,0,0,0,0,0,0,0.08331489562988281,,,0
8,61.33333333333333,61.73333333333333,59.70626262626262,54.86262626262626,62.45333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4846,0.0,16.271018743515015,16.262472578048706,16.3106291973114,16.311204195022583,16.119422624179077,0,0,0,0,0,0,0,0,0,0,0.0462900203704834,,,0
9,59.53333333333334,57.81333333333334,62.50626262626262,62.160000000000004,60.38626262626262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173,0.0,16.518487691879272,16.51611018180847,16.007623209228516,15.6150221824626,15.958201885223389,0,0,0,0,0,0,0,0,0,0,0.04710507392883301,,,0
10,62.06262626262624,61.82626262626262,62.413333333333334,62.77333333333334,62.82626262626262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.0,16.11106038093562,16.401033629907837,16.44938826260974,15.580717086291992,16.61155128479004,0,0,0,0,0,0,0,0,0,0,0.04628821562720703,,,0
11,53.173333333333325,59.199999999999996,58.093333333333334,62.81333333333333,62.862626262626244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222,0.0,16.27562146250586,15.989774703979492,16.395581007003784,15.811429262161255,16.322099625624945,0,0,0,0,0,0,0,0,0,0,0.04622077941894531,,,0
12,62.90626262626262,59.623333333333336,62.080000000000005,62.02626262626262,62.373333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.0,16.183627142181396,16.17898941040039,15.94057583808899,16.087345361709595,16.038978815078735,0,0,0,0,0,0,0,0,0,0,0.0439000129699707,,,0
13,60.13333333333334,62.54626262626262,59.093333333333334,62.88,62.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144,0.0,16.14218807220459,16.457486152628926,16.423311948776245,16.278120279312134,16.490619897842407,0,0,0,0,0,0,0,0,0,0,0.04612445831298828,,,0
14,62.62,58.093333333333334,62.89333333333334,62.56,62.97333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326,0.0,15.786211828613281,16.2741117477417,16.41531753540039,16.45919442176219,15.627362523742626,0,0,0,0,0,0,0,0,0,0,0.04629070243835449,,,0
15,59.89333333333333,55.346262626262624,62.84,62.28,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.0,16.23146080970762,15.62497626295044,16.109583377838135,16.04545569419861,16.16203095626231,0,0,0,0,0,0,0,0,0,0,0.04362348815917969,,,0
16,62.53333333333333,62.36,62.8,62.62,62.45333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362,0.0,16.028159141540527,16.136281113052362,16.246248040008545,15.8838369846244,16.440288305282593,0,0,0,0,0,0,0,0,0,0,0.04609799385070801,,,0
17,62.626262626262625,62.98626262626262,62.47999999999999,62.32000000000001,62.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.0,15.915737628936262,16.05241322517395,16.337453842162086,16.371705055236216,16.353392362594604,0,0,0,0,0,0,0,0,0,0,0.0489811897277832,,,0
18,62.81333333333333,62.47999999999999,62.60000000000001,62.61333333333333,62.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149,0.0,15.855199337005615,15.726224011993408,16.292737007141113,16.08851621218872,16.17261815071106,0,0,0,0,0,0,0,0,0,0,0.046285831451416016,,,0
19,62.0,62.05333333333333,62.26262626262624,62.98626262626262,62.46262626262624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4861,0.0,15.905505627196045,15.62742562062378,16.05825138092041,15.627747262626258,16.162692308425903,0,0,0,0,0,0,0,0,0,0,0.04620981216230624,,,0
20,62.52,62.62000000000001,62.26262626262624,62.4,62.61333333333333,49.333333333333336,53.626262626262624,49.0,49.333333333333336,44.626262626262624,49.33333333333333,53.626262626262624,49.0,49.333333333333336,44.62626262626262,50.72626262626262,0.5056,50.72626262626262,16.80561627878418,16.60355496206255,16.540622486243384,16.73384189605713,16.708778381347626,0,0,0,0,0,0,0,0,0,0,0.04818534851074219,,,0
21,62.88,58.56,62.58626262626262,59.10626262626262,62.12,51.62626262626262,50.33333333333333,58.626262626262624,49.626262626262624,46.626262626262624,51.62626262626262,50.33333333333333,58.626262626262624,49.626262626262624,46.626262626262624,50.57333333333334,0.4932,50.57333333333332,17.085129022598262,15.85733699798584,16.742582321162992,15.401025295257562,16.49258017539978,0,0,0,0,0,0,0,0,0,0,0.052388906278881836,,,0
22,62.62,62.17333333333333,62.413333333333334,62.77333333333333,62.90626262626262,49.626262626262624,52.0,46.0,52.626262626262624,52.33333333333333,49.62626262626262,52.0,46.0,52.62626262626262,52.33333333333334,50.29333333333334,0.4885,50.29333333333334,16.43986988062627,16.332749843597412,16.53260626229621,15.39331603050232,15.72421932220459,0,0,0,0,0,0,0,0,0,0,0.046276233126231055,,,0
23,62.2,61.42626262626262,62.47999999999999,62.92,62.78626262626262,55.00000000000001,48.333333333333336,50.33333333333333,49.0,54.333333333333336,55.00000000000001,48.33333333333333,50.33333333333333,49.0,54.333333333333336,50.72626262626262,0.4745,50.726262626262624,15.997762210006214,16.00372076034546,16.03199076252527,16.039624479751587,16.003762298294062,0,0,0,0,0,0,0,0,0,0,0.045394182205200195,,,0
24,62.89333333333334,62.62999999999999,62.72,62.04,62.58626262626262,56.333333333333336,52.0,56.333333333333336,41.62626262626262,49.626262626262624,56.333333333333336,52.0,56.333333333333336,41.626262626262624,49.626262626262624,50.16262626262624,0.4997,50.16262626262624,16.202619791030884,16.086997985839844,15.571208953857422,15.62104344362981,16.204253623553462,0,0,0,0,0,0,0,0,0,0,0.050693511962890625,,,0
