,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,server_attack,server_accuracy
0,36.0,30.0,37.333333333333336,39.33333333333333,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166
1,50.0,59.333333333333336,50.66666666666667,46.666666666666664,57.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4894
2,52.666666666666664,64.66666666666666,56.666666666666664,57.333333333333336,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5886
3,64.66666666666666,56.666666666666664,45.33333333333333,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6018
4,62.66666666666667,66.66666666666666,62.66666666666667,56.00000000000001,61.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6306
5,64.66666666666666,65.33333333333333,62.0,77.33333333333333,67.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6511
6,60.0,60.0,60.0,62.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6638
7,68.66666666666667,67.33333333333333,63.33333333333333,54.666666666666664,71.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6739
8,76.66666666666667,66.0,55.333333333333336,61.33333333333333,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6781
9,65.33333333333333,60.66666666666667,70.66666666666667,56.00000000000001,71.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6794
10,70.0,71.33333333333334,75.33333333333333,80.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6754
11,68.0,71.33333333333334,67.33333333333333,78.0,77.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6737
12,42.0,70.0,74.66666666666667,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6752
13,75.33333333333333,66.0,69.33333333333334,70.0,72.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6785
14,76.66666666666667,82.66666666666667,76.0,69.33333333333334,70.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.683
15,58.666666666666664,73.33333333333333,83.33333333333334,78.0,74.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.684
16,58.666666666666664,72.0,78.0,64.0,57.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.6861
17,85.33333333333334,72.66666666666667,84.66666666666667,81.33333333333333,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6798
18,76.66666666666667,52.666666666666664,82.0,76.66666666666667,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6801
19,79.33333333333333,75.33333333333333,74.66666666666667,82.66666666666667,69.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6708
20,68.0,78.66666666666666,69.33333333333334,75.33333333333333,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6897
21,76.0,82.0,86.66666666666667,78.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6773
22,83.33333333333334,68.0,82.66666666666667,80.66666666666666,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6805
23,88.0,77.33333333333333,84.66666666666667,76.66666666666667,71.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6822
24,78.66666666666666,65.33333333333333,88.0,80.0,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6766
25,90.0,72.66666666666667,62.66666666666667,82.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852
26,88.0,62.66666666666667,80.0,84.0,68.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6787
27,75.33333333333333,78.0,87.33333333333333,78.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6791
28,88.66666666666667,65.33333333333333,70.66666666666667,82.66666666666667,89.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6772
29,89.33333333333333,70.0,74.0,84.0,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6841
30,91.33333333333333,62.66666666666667,66.66666666666666,83.33333333333334,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776
31,79.33333333333333,86.66666666666667,73.33333333333333,76.66666666666667,81.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6613
32,86.66666666666667,20.666666666666668,74.0,91.33333333333333,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799
33,87.33333333333333,80.0,81.33333333333333,62.66666666666667,94.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6806
34,77.33333333333333,90.66666666666666,67.33333333333333,78.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682
35,87.33333333333333,80.0,80.0,81.33333333333333,85.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6803
36,90.0,81.33333333333333,88.0,85.33333333333334,79.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6755
37,87.33333333333333,70.0,90.0,79.33333333333333,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6853
38,88.66666666666667,56.666666666666664,78.66666666666666,81.33333333333333,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679
39,88.0,83.33333333333334,74.66666666666667,69.33333333333334,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634
40,82.0,88.66666666666667,63.33333333333333,85.33333333333334,90.0,50.66666666666667,47.66666666666667,50.0,49.666666666666664,48.333333333333336,50.05333333333334,0.6814
41,85.33333333333334,77.33333333333333,62.66666666666667,74.66666666666667,64.66666666666666,46.666666666666664,50.33333333333333,49.666666666666664,52.0,49.0,49.96,0.6717
42,85.33333333333334,78.66666666666666,92.66666666666666,84.66666666666667,86.0,47.333333333333336,49.666666666666664,50.0,53.666666666666664,48.333333333333336,50.480000000000004,0.6791
43,72.0,81.33333333333333,76.0,73.33333333333333,82.0,50.33333333333333,51.66666666666667,51.0,51.33333333333333,50.33333333333333,49.946666666666665,0.6841
