,client_accuracy_3,client_accuracy_0,client_accuracy_4,client_accuracy_1,client_accuracy_2,client_accuracy_per_epoch3,client_accuracy_per_epoch0,client_accuracy_per_epoch4,client_accuracy_per_epoch1,client_accuracy_per_epoch2,client_attack_3,client_attack_0,client_attack_4,client_attack_1,client_attack_2,client_auc_3,client_auc_0,client_auc_4,client_auc_1,client_auc_2,server_attack,server_accuracy,server_auc,client_round_duration_3,client_round_duration_0,client_round_duration_4,client_round_duration_1,client_round_duration_2,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,11.834051235547495,8.716844253003854,13.284969394695082,13.511675357061891,10.711856721831785,"[6.214689265536723, 2.824858757062147, 3.389830508474576, 3.954802259887006, 11.834051235547495]","[6.214689265536723, 2.824858757062147, 0.5649717514124294, 2.2598870056497176, 8.716844253003854]","[5.649717514124294, 3.954802259887006, 7.909604519774012, 8.47457627118644, 13.284969394695082]","[2.824858757062147, 5.649717514124294, 2.824858757062147, 7.344632768361582, 13.511675357061891]","[3.954802259887006, 5.084745762711865, 9.6045197740113, 6.214689265536723, 10.711856721831785]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08543738842132109,0.0,14.823482275009155,14.984141111373901,15.183371305465698,15.223527669906616,15.098824977874756,0,0,0,0,0,0,0,0,0,0,0.4131777286529541,,,0
1,56.27975515756064,46.3613693040127,48.97982316934935,53.434595329857174,53.13987757878033,"[9.03954802259887, 24.293785310734464, 35.59322033898305, 41.24293785310734, 56.27975515756064]","[22.033898305084744, 36.15819209039548, 38.4180790960452, 41.24293785310734, 46.3613693040127]","[21.468926553672315, 31.07344632768362, 38.983050847457626, 43.50282485875706, 48.97982316934935]","[17.51412429378531, 32.7683615819209, 31.63841807909605, 50.847457627118644, 53.434595329857174]","[29.943502824858758, 38.983050847457626, 40.67796610169492, 42.3728813559322, 53.13987757878033]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292272379495027,0.0,14.9864501953125,14.940930366516113,14.99402141571045,15.265456676483154,14.913699626922607,0,0,0,0,0,0,0,0,0,0,0.5352745056152344,,,0
2,84.19859442303333,80.18589888914079,71.02697800952164,81.60281115393335,77.83949217864429,"[27.683615819209038, 55.367231638418076, 52.54237288135594, 72.88135593220339, 84.19859442303333]","[30.508474576271187, 57.06214689265536, 57.6271186440678, 68.92655367231639, 80.18589888914079]","[26.55367231638418, 58.19209039548022, 63.84180790960452, 70.62146892655367, 71.02697800952164]","[25.98870056497175, 40.67796610169492, 55.932203389830505, 71.1864406779661, 81.60281115393335]","[28.24858757062147, 47.45762711864407, 69.49152542372882, 71.1864406779661, 77.83949217864429]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7411374649324152,0.0,14.909287691116333,14.823993682861328,14.938767910003662,14.878580570220947,14.835708618164062,0,0,0,0,0,0,0,0,0,0,0.4279003143310547,,,0
3,92.97211516662888,94.6270686919066,92.55270913625029,93.49353888007255,92.21265019270007,"[70.62146892655367, 85.31073446327684, 88.70056497175142, 90.3954802259887, 92.97211516662888]","[62.71186440677966, 86.4406779661017, 85.31073446327684, 89.83050847457628, 94.6270686919066]","[56.49717514124294, 83.05084745762711, 85.87570621468926, 91.52542372881356, 92.55270913625029]","[45.19774011299435, 79.66101694915254, 90.3954802259887, 91.52542372881356, 93.49353888007255]","[58.75706214689266, 81.35593220338984, 92.09039548022598, 92.65536723163842, 92.21265019270007]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559041060953838,0.0,14.912985563278198,14.760581016540527,15.034487009048462,14.774531841278076,14.89203691482544,0,0,0,0,0,0,0,0,0,0,0.4201185703277588,,,0
4,97.04148719111313,96.76944003627295,96.24801632282929,94.64973928814328,95.77193380185899,"[73.44632768361582, 95.48022598870057, 96.61016949152543, 97.17514124293785, 97.04148719111313]","[69.49152542372882, 92.09039548022598, 91.52542372881356, 95.48022598870057, 96.76944003627295]","[77.40112994350282, 91.52542372881356, 94.35028248587571, 95.48022598870057, 96.24801632282929]","[61.5819209039548, 90.3954802259887, 93.78531073446328, 93.78531073446328, 94.64973928814328]","[72.31638418079096, 94.35028248587571, 97.17514124293785, 97.74011299435028, 95.77193380185899]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8908441724049987,0.0,14.852289199829102,14.896038293838501,14.947601795196533,14.605595350265503,14.84375524520874,0,0,0,0,0,0,0,0,0,0,0.41139721870422363,,,0
5,97.49489911584675,97.76694627068692,97.05282248923147,97.0641577873498,97.51756971208343,"[78.53107344632768, 98.87005649717514, 98.30508474576271, 98.30508474576271, 97.49489911584675]","[83.05084745762711, 96.045197740113, 96.045197740113, 97.17514124293785, 97.76694627068692]","[78.53107344632768, 95.48022598870057, 96.61016949152543, 98.30508474576271, 97.05282248923147]","[86.4406779661017, 91.52542372881356, 95.48022598870057, 96.61016949152543, 97.0641577873498]","[89.26553672316385, 97.17514124293785, 98.87005649717514, 98.87005649717514, 97.51756971208343]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9023208365212956,0.0,15.010859489440918,14.341928482055664,14.706011533737183,14.945649147033691,15.00130319595337,0,0,0,0,0,0,0,0,0,0,0.5137138366699219,,,0
6,98.0956699161188,98.31104058036726,97.93697574246202,97.86896395375199,97.7896168669236,"[90.3954802259887, 97.17514124293785, 99.43502824858757, 99.43502824858757, 98.0956699161188]","[88.70056497175142, 96.61016949152543, 96.045197740113, 96.61016949152543, 98.31104058036726]","[89.26553672316385, 97.17514124293785, 98.87005649717514, 98.87005649717514, 97.93697574246202]","[81.35593220338984, 98.87005649717514, 98.30508474576271, 97.74011299435028, 97.86896395375199]","[96.61016949152543, 98.87005649717514, 99.43502824858757, 99.43502824858757, 97.7896168669236]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9092068349910737,0.0,14.929886102676392,14.999165534973145,15.040252447128296,15.113667488098145,14.780255317687988,0,0,0,0,0,0,0,0,0,0,0.5285561084747314,,,0
7,98.61709362956246,98.75311720698254,98.16368170482885,98.2090228973022,98.35638177284063,"[94.91525423728814, 98.87005649717514, 98.87005649717514, 98.87005649717514, 98.61709362956246]","[96.045197740113, 97.74011299435028, 97.74011299435028, 97.74011299435028, 98.75311720698254]","[94.35028248587571, 97.17514124293785, 98.87005649717514, 98.87005649717514, 98.16368170482885]","[95.48022598870057, 97.74011299435028, 98.30508474576271, 98.30508474576271, 98.2090228973022]","[96.045197740113, 99.43502824858757, 98.87005649717514, 99.43502824858757, 98.35638177284063]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109920938536088,0.0,14.999282360076904,14.853182315826416,14.877184629440308,15.37173080444336,14.811224460601807,0,0,0,0,0,0,0,0,0,0,0.5152809619903564,,,0
8,98.78712310133757,98.83246429381093,98.9118113806393,98.82112899569259,98.0956699161188,"[85.31073446327684, 99.43502824858757, 100.0, 100.0, 98.78712310133757]","[93.22033898305084, 97.74011299435028, 98.30508474576271, 98.87005649717514, 98.83246429381093]","[98.87005649717514, 99.43502824858757, 99.43502824858757, 99.43502824858757, 98.9118113806393]","[95.48022598870057, 99.43502824858757, 99.43502824858757, 99.43502824858757, 98.82112899569259]","[97.74011299435028, 98.30508474576271, 98.87005649717514, 98.87005649717514, 98.0956699161188]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127773527161438,0.0,14.667116641998291,14.677265167236328,15.0592041015625,14.817485094070435,14.69138765335083,0,0,0,0,0,0,0,0,0,0,0.3856935501098633,,,0
9,98.92314667875766,98.9911584674677,98.93448197687599,98.82112899569259,98.78712310133757,"[93.78531073446328, 99.43502824858757, 99.43502824858757, 99.43502824858757, 98.92314667875766]","[97.17514124293785, 98.87005649717514, 98.87005649717514, 98.30508474576271, 98.9911584674677]","[99.43502824858757, 98.87005649717514, 99.43502824858757, 99.43502824858757, 98.93448197687599]","[97.17514124293785, 97.74011299435028, 98.87005649717514, 99.43502824858757, 98.82112899569259]","[96.045197740113, 99.43502824858757, 99.43502824858757, 100.0, 98.78712310133757]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913032389696506,0.0,14.880728960037231,14.698968172073364,15.709335803985596,14.598020553588867,14.793523788452148,0,0,0,0,0,0,0,0,0,0,0.4244058132171631,,,0
