,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc
0,35.24,51.76,55.90666666666667,52.026666666666664,62.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5938,0.0
1,58.120000000000005,58.25333333333334,53.626666666666665,56.733333333333334,63.453333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6574,0.0
2,59.226666666666674,62.8,52.13333333333333,66.69333333333334,61.36000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6876,0.0
3,65.09333333333333,63.75999999999999,57.120000000000005,64.98666666666666,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7032,0.0
4,62.12,66.61333333333333,62.306666666666665,59.70666666666666,63.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968,0.0
5,64.75999999999999,64.53333333333333,66.45333333333333,65.70666666666666,66.94666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7038,0.0
6,66.01333333333334,64.24,65.70666666666666,57.41333333333334,66.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6918,0.0
7,67.62666666666667,63.693333333333335,62.413333333333334,66.22666666666667,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6992,0.0
8,67.64,52.16,65.94666666666666,63.18666666666667,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7114,0.0
9,68.74666666666667,66.57333333333332,61.199999999999996,61.68,68.18666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074,0.0
10,66.58666666666667,64.66666666666666,68.61333333333334,64.48,62.57333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067,0.0
11,65.44,65.18666666666667,65.77333333333333,68.41333333333334,68.90666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7111,0.0
12,63.946666666666665,63.68000000000001,65.01333333333334,64.44,69.67999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119,0.0
13,64.01333333333334,66.84,61.906666666666666,64.46666666666667,67.13333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.0
14,68.90666666666667,68.0,66.14666666666666,67.25333333333333,65.34666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107,0.0
15,67.81333333333333,67.96,66.01333333333334,63.42666666666666,69.18666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,0.0
16,66.98666666666668,65.97333333333333,66.50666666666667,60.64000000000001,68.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994,0.0
17,65.8,64.84,63.81333333333333,66.28,68.89333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
18,68.44,68.56,66.89333333333335,59.94666666666667,68.45333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046,0.0
19,68.14666666666666,66.81333333333333,67.60000000000001,66.58666666666667,69.45333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005,0.0
20,69.6,66.8,64.05333333333333,66.33333333333333,65.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0
21,66.05333333333333,66.72,67.53333333333333,62.63999999999999,65.97333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6957,0.0
