,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,server_attack,server_accuracy
0,51.33333333333333,46.666666666666664,41.333333333333336,44.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4701
1,71.33333333333334,60.66666666666667,64.0,70.0,57.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6408
2,68.66666666666667,60.66666666666667,64.0,70.0,69.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6794
3,76.0,75.33333333333333,73.33333333333333,70.0,73.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.687
4,78.0,76.66666666666667,80.66666666666666,83.33333333333334,77.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6932
5,86.0,84.0,83.33333333333334,81.33333333333333,79.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6967
6,89.33333333333333,80.66666666666666,83.33333333333334,84.66666666666667,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974
7,86.0,82.0,89.33333333333333,90.66666666666666,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969
8,82.0,89.33333333333333,89.33333333333333,88.66666666666667,87.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6951
9,91.33333333333333,90.66666666666666,92.66666666666666,92.66666666666666,87.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7014
10,89.33333333333333,89.33333333333333,94.0,89.33333333333333,86.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6874
11,91.33333333333333,92.66666666666666,92.66666666666666,92.66666666666666,90.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6997
12,86.66666666666667,93.33333333333333,88.66666666666667,96.66666666666667,98.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7012
13,96.66666666666667,90.0,94.66666666666667,92.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015
14,86.0,92.66666666666666,86.66666666666667,90.66666666666666,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6973
15,90.66666666666666,92.66666666666666,92.66666666666666,86.66666666666667,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987
16,89.33333333333333,90.0,97.33333333333334,92.0,90.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7005
17,95.33333333333334,85.33333333333334,90.0,96.0,96.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.704
18,92.0,92.0,92.66666666666666,96.66666666666667,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6998
19,98.66666666666667,96.0,93.33333333333333,87.33333333333333,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931
20,98.0,90.0,96.0,92.0,96.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7018
21,90.66666666666666,96.0,97.33333333333334,90.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984
22,94.66666666666667,94.66666666666667,95.33333333333334,90.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035
23,92.66666666666666,95.33333333333334,91.33333333333333,98.66666666666667,95.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.7068
24,96.66666666666667,91.33333333333333,95.33333333333334,96.66666666666667,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994
25,96.0,97.33333333333334,96.0,96.66666666666667,95.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6962
26,93.33333333333333,96.0,97.33333333333334,97.33333333333334,95.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.7021
27,88.0,96.0,94.66666666666667,98.0,94.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.701
28,92.66666666666666,96.66666666666667,94.66666666666667,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7055
29,91.33333333333333,92.66666666666666,94.0,93.33333333333333,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044
30,94.0,98.66666666666667,95.33333333333334,92.66666666666666,97.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.7068
31,98.66666666666667,98.66666666666667,96.0,98.66666666666667,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7075
32,94.66666666666667,98.0,97.33333333333334,97.33333333333334,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071
33,98.66666666666667,96.66666666666667,97.33333333333334,96.66666666666667,98.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7073
34,91.33333333333333,95.33333333333334,96.66666666666667,91.33333333333333,94.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6964
35,97.33333333333334,88.66666666666667,97.33333333333334,94.66666666666667,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.698
36,98.66666666666667,96.66666666666667,96.66666666666667,98.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7054
37,94.66666666666667,94.0,94.66666666666667,98.0,98.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7096
38,96.66666666666667,94.0,95.33333333333334,97.33333333333334,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7012
39,98.66666666666667,94.66666666666667,99.33333333333333,96.66666666666667,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086
40,90.66666666666666,96.66666666666667,97.33333333333334,98.0,96.0,53.666666666666664,53.666666666666664,51.33333333333333,55.00000000000001,52.0,64.88666666666667,0.709
41,94.0,96.66666666666667,94.66666666666667,95.33333333333334,97.33333333333334,55.00000000000001,54.666666666666664,56.666666666666664,53.333333333333336,53.333333333333336,63.406666666666666,0.7074
42,93.33333333333333,94.66666666666667,98.0,94.66666666666667,98.66666666666667,47.66666666666667,54.666666666666664,52.0,54.333333333333336,52.666666666666664,60.50666666666666,0.7053
43,97.33333333333334,97.33333333333334,96.0,98.0,95.33333333333334,49.666666666666664,54.0,54.0,56.99999999999999,53.333333333333336,62.08,0.7037
44,98.66666666666667,98.66666666666667,96.66666666666667,94.66666666666667,96.66666666666667,52.666666666666664,55.333333333333336,51.33333333333333,56.00000000000001,56.666666666666664,65.01333333333334,0.7048
45,93.33333333333333,93.33333333333333,90.0,90.0,96.66666666666667,56.333333333333336,53.666666666666664,52.666666666666664,53.666666666666664,52.666666666666664,61.22666666666666,0.7074
46,95.33333333333334,97.33333333333334,96.66666666666667,98.66666666666667,98.0,56.333333333333336,50.0,53.333333333333336,54.0,54.666666666666664,63.49333333333333,0.7044
