,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,server_attack,server_accuracy
0,35.333333333333336,30.0,34.0,34.0,27.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.3417
1,38.666666666666664,33.33333333333333,48.0,38.666666666666664,29.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.3421
2,42.0,44.0,34.66666666666667,50.66666666666667,44.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.4567
3,45.33333333333333,45.33333333333333,45.33333333333333,50.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4832
4,53.333333333333336,47.333333333333336,50.66666666666667,41.333333333333336,48.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5325
5,52.666666666666664,55.333333333333336,46.0,58.666666666666664,50.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5602
6,56.00000000000001,50.0,55.333333333333336,50.0,52.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.5918
7,66.0,50.66666666666667,63.33333333333333,57.99999999999999,61.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6163
8,74.66666666666667,43.333333333333336,56.00000000000001,57.333333333333336,52.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6421
9,65.33333333333333,62.0,63.33333333333333,62.66666666666667,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6438
10,62.66666666666667,69.33333333333334,53.333333333333336,57.99999999999999,71.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6635
11,44.666666666666664,63.33333333333333,60.0,63.33333333333333,67.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6564
12,67.33333333333333,71.33333333333334,65.33333333333333,62.66666666666667,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698
13,74.0,56.666666666666664,72.0,76.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6543
14,74.0,71.33333333333334,64.0,66.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504
15,68.66666666666667,69.33333333333334,52.666666666666664,71.33333333333334,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6626
16,77.33333333333333,72.0,57.333333333333336,75.33333333333333,73.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6673
