,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_data_parameters_memory_usage_2,client_data_parameters_memory_usage_0,client_data_parameters_memory_usage_1,client_data_parameters_memory_usage_4,client_data_parameters_memory_usage_3,client_model_parameters_memory_usage_2,client_model_parameters_memory_usage_0,client_model_parameters_memory_usage_1,client_model_parameters_memory_usage_4,client_model_parameters_memory_usage_3,client_training_memory_usage_2,client_training_memory_usage_0,client_training_memory_usage_1,client_training_memory_usage_4,client_training_memory_usage_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,30.146666666666665,30.293333333333333,30.093333333333334,31.14666666666667,29.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368,0.0,13.904797077178955,13.835492134094238,13.698741436004639,13.60519027709961,13.694719552993774,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.33042478561401367,35.4444580078125,177.2027587890625,0
1,37.92,37.01333333333333,34.413333333333334,39.74666666666667,35.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381,0.0,13.60667371749878,13.992595911026001,13.803519248962402,13.835973501205444,13.71108603477478,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.5130243301391602,35.4444580078125,177.2027587890625,0
2,41.48,40.733333333333334,40.666666666666664,38.68,38.61333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396,0.0,13.882506847381592,13.93037486076355,14.173713207244873,13.772900819778442,13.80895209312439,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.5177083015441895,35.4444580078125,177.2027587890625,0
3,38.93333333333333,43.17333333333334,40.8,42.38666666666667,40.160000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,14.175590515136719,13.748520374298096,13.953763961791992,13.776005268096924,13.74623990058899,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.4120008945465088,35.4444580078125,177.2027587890625,0
4,44.13333333333333,43.053333333333335,40.626666666666665,41.25333333333333,43.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3807,0.0,13.701904296875,13.80386209487915,13.597910404205322,13.935101747512817,14.010066986083984,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.5395081043243408,35.4444580078125,177.2027587890625,0
5,40.400000000000006,43.733333333333334,43.84,44.14666666666667,44.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4527,0.0,13.834009170532227,13.794930696487427,13.884864568710327,13.824356317520142,13.916937351226807,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.49172472953796387,35.4444580078125,177.2027587890625,0
6,47.25333333333334,44.81333333333333,50.05333333333334,49.42666666666667,44.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4825,0.0,13.722469806671143,13.957437515258789,13.634047031402588,13.75417971611023,13.77044129371643,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.41127490997314453,35.4444580078125,177.2027587890625,0
7,52.77333333333334,54.70666666666667,51.26666666666667,54.733333333333334,52.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543,0.0,13.901072978973389,13.9666268825531,13.961984872817993,13.848872184753418,13.749866008758545,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.5136876106262207,35.4444580078125,177.2027587890625,0
8,57.09333333333333,59.21333333333333,55.626666666666665,57.09333333333333,51.57333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6126,0.0,13.920057773590088,13.85017442703247,14.025091409683228,13.744088649749756,13.82520318031311,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.409212589263916,35.4444580078125,177.2027587890625,0
9,59.94666666666667,61.586666666666666,54.84,62.346666666666664,57.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6523,0.0,13.91719102859497,13.720174312591553,13.683461427688599,13.72758412361145,13.795547008514404,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4405517578125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,35.4444580078125,2616.0625,2616.0625,2616.0625,2616.0625,2616.0625,0,0,0,0,0,0,0,0,0,0,0.40837574005126953,35.4444580078125,177.2027587890625,0
