,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,server_attack,server_accuracy
0,43.333333333333336,46.666666666666664,47.333333333333336,47.333333333333336,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4154
1,43.333333333333336,44.666666666666664,48.0,54.666666666666664,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4843
2,41.333333333333336,50.0,48.66666666666667,50.66666666666667,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411
3,56.00000000000001,52.666666666666664,48.66666666666667,54.0,50.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.567
4,43.333333333333336,63.33333333333333,68.66666666666667,57.99999999999999,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.59
5,63.33333333333333,60.0,66.0,59.333333333333336,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6194
6,56.666666666666664,50.66666666666667,63.33333333333333,57.333333333333336,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207
7,57.333333333333336,62.66666666666667,64.66666666666666,66.0,64.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6432
8,58.666666666666664,60.0,66.66666666666666,65.33333333333333,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6542
9,62.0,62.66666666666667,61.33333333333333,56.666666666666664,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678
10,60.66666666666667,62.66666666666667,68.66666666666667,62.66666666666667,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6623
11,70.0,64.0,70.0,66.0,78.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6763
12,59.333333333333336,59.333333333333336,71.33333333333334,70.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6789
13,72.0,69.33333333333334,73.33333333333333,69.33333333333334,62.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6743
14,59.333333333333336,64.0,65.33333333333333,74.66666666666667,69.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6822
15,82.66666666666667,76.66666666666667,68.66666666666667,70.0,68.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6774
16,76.0,72.66666666666667,84.0,76.66666666666667,57.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6764
17,76.66666666666667,78.0,73.33333333333333,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6837
18,52.666666666666664,80.0,71.33333333333334,76.0,76.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6785
19,73.33333333333333,76.0,72.66666666666667,76.0,73.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6802
20,78.0,82.0,76.66666666666667,76.0,77.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6881
21,76.0,81.33333333333333,68.66666666666667,70.0,77.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6758
22,80.0,82.66666666666667,77.33333333333333,78.66666666666666,78.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6801
23,75.33333333333333,79.33333333333333,76.66666666666667,74.0,89.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6864
24,77.33333333333333,82.66666666666667,72.66666666666667,62.0,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6821
25,76.66666666666667,79.33333333333333,79.33333333333333,85.33333333333334,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6705
26,77.33333333333333,82.0,67.33333333333333,73.33333333333333,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6709
27,78.66666666666666,82.0,84.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787
28,77.33333333333333,71.33333333333334,86.0,73.33333333333333,86.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6741
29,81.33333333333333,76.66666666666667,82.66666666666667,78.66666666666666,82.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6816
30,78.66666666666666,76.66666666666667,85.33333333333334,81.33333333333333,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6753
31,76.0,84.66666666666667,72.0,84.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6628
32,78.0,77.33333333333333,62.0,78.0,72.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6762
33,80.66666666666666,74.66666666666667,90.66666666666666,79.33333333333333,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715
34,86.66666666666667,83.33333333333334,84.0,72.0,85.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6727
35,84.66666666666667,84.0,79.33333333333333,88.66666666666667,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889
36,88.0,79.33333333333333,90.66666666666666,84.66666666666667,74.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6765
37,76.66666666666667,78.0,80.66666666666666,79.33333333333333,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6648
38,80.0,78.0,88.0,65.33333333333333,85.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6846
39,85.33333333333334,86.66666666666667,85.33333333333334,67.33333333333333,86.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6816
40,85.33333333333334,84.66666666666667,90.0,91.33333333333333,84.66666666666667,55.00000000000001,57.333333333333336,54.0,55.00000000000001,59.333333333333336,54.36666666666666,0.6773
41,86.66666666666667,88.0,87.33333333333333,90.0,86.0,56.333333333333336,57.99999999999999,54.333333333333336,57.666666666666664,54.333333333333336,53.166666666666664,0.6824
42,79.33333333333333,68.66666666666667,84.0,89.33333333333333,86.0,52.33333333333333,57.99999999999999,50.66666666666667,53.333333333333336,54.0,53.839999999999996,0.6743
43,82.66666666666667,78.0,82.66666666666667,88.66666666666667,78.0,55.666666666666664,56.99999999999999,54.333333333333336,55.666666666666664,54.0,53.54,0.6748
44,83.33333333333334,92.66666666666666,84.66666666666667,89.33333333333333,84.0,50.33333333333333,59.66666666666667,56.333333333333336,52.666666666666664,55.666666666666664,54.446666666666665,0.6891
45,80.0,84.66666666666667,90.0,92.0,75.33333333333333,53.333333333333336,54.333333333333336,49.666666666666664,52.666666666666664,51.66666666666667,55.053333333333335,0.6732
46,88.66666666666667,92.66666666666666,83.33333333333334,80.0,81.33333333333333,56.00000000000001,60.66666666666667,53.0,56.333333333333336,53.333333333333336,53.45333333333333,0.6773
47,96.0,91.33333333333333,87.33333333333333,87.33333333333333,90.0,58.666666666666664,56.333333333333336,57.333333333333336,57.333333333333336,55.00000000000001,54.553333333333335,0.6779
48,88.0,91.33333333333333,72.0,96.0,74.0,56.333333333333336,57.333333333333336,52.0,54.333333333333336,56.666666666666664,54.913333333333334,0.6694
49,87.33333333333333,81.33333333333333,83.33333333333334,82.66666666666667,78.0,59.0,53.0,51.66666666666667,51.33333333333333,50.66666666666667,52.013333333333335,0.6697
