,client_accuracy_1,client_accuracy_0,client_attack_1,client_attack_0,client_auc_1,client_auc_0,server_attack,server_accuracy,server_auc
0,49.733333333333334,64.13333333333333,0.0,0.0,0.0,0.0,0.0,0.6225,0.0
1,19.94104036574487,23.02701271186441,50.0,50.0,50.0,50.0,50.0,23.864713425512935,50.0
2,19.994006467439785,22.99146966993756,50.0,50.0,50.0,50.0,50.0,23.77690120428189,50.0
3,20.108998661909013,22.964986619090098,50.0,50.0,50.0,50.0,50.0,23.77202274754683,50.0
4,20.03791257805531,22.91689897413024,50.0,50.0,50.0,50.0,50.0,23.696755129348794,50.0
