,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch1,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,33.6,35.693333333333335,34.4,34.013333333333335,33.49333333333334,"[21.333333333333336, 34.66666666666667, 34.0, 35.333333333333336, 33.6]","[18.666666666666668, 20.666666666666668, 24.0, 26.666666666666668, 35.693333333333335]","[31.333333333333336, 35.333333333333336, 32.0, 28.666666666666668, 34.4]","[30.0, 37.333333333333336, 37.333333333333336, 33.33333333333333, 34.013333333333335]","[14.666666666666666, 26.0, 32.666666666666664, 30.666666666666664, 33.49333333333334]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596,0.0,16.299973487854004,16.356736421585083,16.414854288101196,16.305213451385498,16.165881156921387,0,0,0,0,0,0,0,0,0,0,0.053447723388671875,,,0
1,40.06666666666667,45.72,43.49333333333333,37.32,43.54666666666667,"[30.666666666666664, 32.666666666666664, 40.666666666666664, 39.33333333333333, 40.06666666666667]","[35.333333333333336, 38.666666666666664, 39.33333333333333, 38.0, 45.72]","[35.333333333333336, 40.0, 42.66666666666667, 46.0, 43.49333333333333]","[41.333333333333336, 34.66666666666667, 42.66666666666667, 43.333333333333336, 37.32]","[33.33333333333333, 33.33333333333333, 32.666666666666664, 35.333333333333336, 43.54666666666667]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322,0.0,16.72152042388916,16.386234521865845,16.67997407913208,16.183577299118042,16.543129444122314,0,0,0,0,0,0,0,0,0,0,0.041229963302612305,,,0
2,48.013333333333335,49.97333333333333,50.06666666666667,48.04,46.53333333333333,"[43.333333333333336, 42.66666666666667, 42.66666666666667, 38.0, 48.013333333333335]","[42.0, 41.333333333333336, 42.66666666666667, 47.333333333333336, 49.97333333333333]","[34.66666666666667, 42.0, 45.33333333333333, 39.33333333333333, 50.06666666666667]","[36.0, 42.0, 36.0, 33.33333333333333, 48.04]","[38.0, 36.666666666666664, 36.666666666666664, 38.0, 46.53333333333333]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5113,0.0,16.216262817382812,16.230833053588867,16.107520818710327,16.28996992111206,16.274685859680176,0,0,0,0,0,0,0,0,0,0,0.04129171371459961,,,0
3,50.50666666666667,49.70666666666666,54.013333333333335,48.96,51.06666666666667,"[38.666666666666664, 46.0, 44.666666666666664, 48.0, 50.50666666666667]","[42.0, 32.0, 48.0, 51.33333333333333, 49.70666666666666]","[36.0, 49.333333333333336, 48.66666666666667, 54.666666666666664, 54.013333333333335]","[39.33333333333333, 58.666666666666664, 57.99999999999999, 65.33333333333333, 48.96]","[36.0, 40.666666666666664, 48.0, 45.33333333333333, 51.06666666666667]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307,0.0,15.954990863800049,16.569823265075684,16.605692863464355,16.214601278305054,16.673855781555176,0,0,0,0,0,0,0,0,0,0,0.03985404968261719,,,0
4,54.42666666666667,54.97333333333333,53.92,51.81333333333333,52.35999999999999,"[44.0, 40.666666666666664, 44.0, 56.00000000000001, 54.42666666666667]","[53.333333333333336, 41.333333333333336, 53.333333333333336, 52.666666666666664, 54.97333333333333]","[38.0, 50.0, 53.333333333333336, 52.0, 53.92]","[46.666666666666664, 45.33333333333333, 44.666666666666664, 46.666666666666664, 51.81333333333333]","[49.333333333333336, 47.333333333333336, 47.333333333333336, 53.333333333333336, 52.35999999999999]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5548,0.0,15.973763465881348,16.103707313537598,16.18092370033264,16.329014778137207,16.42799425125122,0,0,0,0,0,0,0,0,0,0,0.04250955581665039,,,0
5,54.22666666666667,55.58666666666666,58.57333333333333,52.10666666666667,58.46666666666667,"[45.33333333333333, 46.666666666666664, 52.666666666666664, 54.0, 54.22666666666667]","[52.0, 54.666666666666664, 61.33333333333333, 62.0, 55.58666666666666]","[36.0, 44.0, 57.333333333333336, 56.666666666666664, 58.57333333333333]","[57.99999999999999, 58.666666666666664, 57.99999999999999, 57.99999999999999, 52.10666666666667]","[50.0, 43.333333333333336, 48.66666666666667, 53.333333333333336, 58.46666666666667]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5871,0.0,16.46525549888611,16.20698571205139,16.20205330848694,16.3920636177063,16.247059106826782,0,0,0,0,0,0,0,0,0,0,0.04299473762512207,,,0
6,59.919999999999995,57.053333333333335,58.32000000000001,51.65333333333333,50.906666666666666,"[58.666666666666664, 54.666666666666664, 57.333333333333336, 60.66666666666667, 59.919999999999995]","[34.0, 50.66666666666667, 42.0, 51.33333333333333, 57.053333333333335]","[42.0, 54.666666666666664, 57.333333333333336, 56.00000000000001, 58.32000000000001]","[50.0, 60.0, 63.33333333333333, 54.0, 51.65333333333333]","[46.0, 52.666666666666664, 59.333333333333336, 60.66666666666667, 50.906666666666666]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5977,0.0,16.239867448806763,16.33335041999817,16.376132488250732,16.372605323791504,16.258397102355957,0,0,0,0,0,0,0,0,0,0,0.04247403144836426,,,0
7,57.92,59.040000000000006,60.28,57.68,56.36,"[48.0, 62.0, 65.33333333333333, 64.0, 57.92]","[52.0, 58.666666666666664, 54.0, 49.333333333333336, 59.040000000000006]","[49.333333333333336, 62.0, 64.66666666666666, 62.0, 60.28]","[50.66666666666667, 52.0, 54.666666666666664, 52.666666666666664, 57.68]","[53.333333333333336, 41.333333333333336, 51.33333333333333, 52.666666666666664, 56.36]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043,0.0,16.444448709487915,16.04567003250122,16.219112634658813,16.35634469985962,16.171634674072266,0,0,0,0,0,0,0,0,0,0,0.04148578643798828,,,0
8,58.02666666666667,60.586666666666666,61.77333333333333,60.89333333333333,60.6,"[53.333333333333336, 46.666666666666664, 64.66666666666666, 64.66666666666666, 58.02666666666667]","[46.666666666666664, 58.666666666666664, 51.33333333333333, 51.33333333333333, 60.586666666666666]","[56.00000000000001, 52.0, 60.66666666666667, 55.333333333333336, 61.77333333333333]","[40.666666666666664, 62.0, 67.33333333333333, 60.66666666666667, 60.89333333333333]","[46.666666666666664, 60.66666666666667, 60.66666666666667, 59.333333333333336, 60.6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216,0.0,16.84303641319275,16.776501178741455,16.356557369232178,16.79554581642151,16.176502466201782,0,0,0,0,0,0,0,0,0,0,0.041600942611694336,,,0
9,61.199999999999996,61.57333333333334,61.61333333333333,61.66666666666667,61.06666666666667,"[63.33333333333333, 54.666666666666664, 58.666666666666664, 62.0, 61.199999999999996]","[60.66666666666667, 59.333333333333336, 62.0, 62.0, 61.57333333333334]","[58.666666666666664, 54.0, 57.333333333333336, 64.66666666666666, 61.61333333333333]","[60.66666666666667, 63.33333333333333, 64.0, 58.666666666666664, 61.66666666666667]","[52.666666666666664, 63.33333333333333, 56.00000000000001, 57.333333333333336, 61.06666666666667]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.0,16.267887353897095,16.210400342941284,16.302725315093994,16.19315481185913,16.347134828567505,0,0,0,0,0,0,0,0,0,0,0.04186511039733887,,,0
