,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc
0,32.61333333333333,31.2,40.239999999999995,42.053333333333335,45.25333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554,0.0
1,66.97333333333333,36.626666666666665,61.6,38.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6168,0.0
2,66.54666666666667,64.57333333333334,62.66666666666667,68.10666666666667,58.160000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889,0.0
3,64.69333333333334,69.86666666666666,69.70666666666666,62.94666666666666,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7204,0.0
4,67.89333333333335,68.04,67.47999999999999,68.29333333333332,66.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288,0.0
5,68.0,68.89333333333333,70.14666666666668,70.37333333333333,69.62666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7363,0.0
6,71.0,69.65333333333334,71.32,66.92,70.69333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7349,0.0
7,71.16,68.97333333333333,70.61333333333333,69.18666666666667,70.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335,0.0
8,70.26666666666667,69.98666666666666,68.53333333333333,69.90666666666667,70.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7329,0.0
9,70.61333333333333,70.29333333333334,71.05333333333334,69.46666666666667,70.86666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,0.0
10,70.17333333333333,68.02666666666667,72.0,69.10666666666667,69.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7324,0.0
11,66.34666666666666,71.82666666666667,71.86666666666667,69.13333333333334,70.09333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358,0.0
12,70.01333333333334,71.32,71.98666666666666,69.30666666666667,64.74666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295,0.0
13,67.0,69.57333333333334,68.33333333333333,70.18666666666667,71.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281,0.0
14,70.90666666666667,69.94666666666667,71.56,69.84,71.37333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7347,0.0
15,70.81333333333333,69.42666666666668,71.02666666666667,68.97333333333333,67.70666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7366,0.0
16,69.8,71.09333333333333,71.12,70.0,69.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7318,0.0
17,70.0,70.62666666666667,71.85333333333334,69.70666666666666,70.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7338,0.0
18,70.94666666666667,69.24,70.98666666666666,69.44,69.77333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285,0.0
19,71.25333333333333,70.54666666666667,70.86666666666666,70.24000000000001,70.50666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7267,0.0
20,71.45333333333333,71.12,70.29333333333334,71.54666666666667,69.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7305,0.0
21,71.28,69.76,69.76,70.38666666666667,70.61333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283,0.0
22,70.16,68.18666666666667,69.38666666666666,70.84,70.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243,0.0
23,70.22666666666667,70.49333333333333,69.32000000000001,71.33333333333334,71.01333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7293,0.0
24,70.92,70.69333333333333,71.54666666666667,72.17333333333333,69.58666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282,0.0
25,70.56,70.85333333333334,70.29333333333334,70.58666666666666,70.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.0
26,71.05333333333334,71.29333333333334,70.65333333333334,70.93333333333334,70.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7274,0.0
27,69.56,71.02666666666667,70.77333333333333,71.18666666666667,71.25333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7231,0.0
28,70.49333333333333,70.44,71.13333333333334,70.41333333333334,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281,0.0
29,70.6,70.57333333333334,71.01333333333332,71.17333333333333,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278,0.0
30,70.05333333333333,71.0,70.34666666666666,71.17333333333333,71.05333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282,0.0
31,71.32,70.8,69.94666666666667,71.28,69.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7248,0.0
32,71.01333333333332,71.53333333333333,69.08,70.58666666666666,70.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262,0.0
33,71.18666666666667,70.86666666666666,71.33333333333334,70.67999999999999,71.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7231,0.0
34,70.8,69.76,71.08,71.13333333333334,69.85333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309,0.0
35,70.44,70.13333333333334,71.34666666666666,70.94666666666667,70.77333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734,0.0
36,70.56,70.97333333333333,72.28,67.98666666666666,71.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7265,0.0
37,69.82666666666667,71.69333333333333,71.58666666666666,68.88,71.18666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7267,0.0
38,71.54666666666667,71.46666666666667,70.93333333333334,70.18666666666667,68.30666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.0
39,70.24000000000001,71.56,71.44,70.86666666666666,71.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259,0.0
40,72.09333333333333,72.32,72.42666666666666,72.10666666666667,71.93333333333334,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7195,50.0
41,72.38666666666667,72.32,72.37333333333333,72.11999999999999,72.05333333333334,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.718,50.0
42,72.14666666666668,72.14666666666668,72.21333333333332,72.30666666666666,71.94666666666667,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7163,50.0
43,71.88,71.93333333333334,72.28,72.01333333333334,72.06666666666666,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7212,50.0
44,71.92,72.01333333333334,72.26666666666667,72.09333333333333,71.48,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7182,50.0
45,72.09333333333333,72.39999999999999,72.09333333333333,71.93333333333334,72.21333333333332,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7192,50.0
46,72.17333333333333,72.68,72.26666666666667,71.89333333333333,72.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.72,50.0
47,72.69333333333333,72.61333333333333,71.94666666666667,71.57333333333334,71.69333333333333,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.719,50.0
48,72.09333333333333,72.16,72.46666666666667,72.38666666666667,72.39999999999999,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7197,50.0
49,71.93333333333334,71.94666666666667,72.24000000000001,72.04,72.44,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.7226,50.0
