,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,6.984811515995409,0,0,0,0
1,19.052295103422537,0,0,0,0
2,29.90093389623683,0,0,0,0
3,34.62829571493301,0,0,0,0
4,38.8890125730892,0,0,0,0
5,40.93457735907457,0,0,0,0
6,44.02699157221836,0,0,0,0
7,45.127413669573876,0,0,0,0
8,46.43038491887657,0,0,0,0
9,48.98102615768571,0,0,0,0
10,49.136972455956084,0,0,0,0
11,50.33453531708355,0,0,0,0
12,50.95116788346894,0,0,0,0
13,51.93442289913772,0,0,0,0
14,52.64226504192089,0,0,0,0
15,52.75212210983262,0,0,0,0
16,52.245352940974755,0,0,0,0
17,53.03958166025301,0,0,0,0
18,53.442953766674606,0,0,0,0
19,53.88054239622688,0,0,0,0
20,53.333345613271646,0,0,0,0
21,54.27163033843023,0,0,0,0
22,54.64529509918916,0,0,0,0
23,53.788911922867165,0,0,0,0
24,54.65980528019189,0,0,0,0
25,55.025481538050464,0,0,0,0
26,54.92272923738677,0,0,0,0
27,54.265721502642855,0,0,0,0
28,55.2790867662405,0,0,0,0
29,53.750379207700284,0,0,0,0
30,54.94295974204005,0,0,0,0
31,54.30293800817767,0,0,0,0
32,54.294178333589954,0,0,0,0
33,55.70493032162274,0,0,0,0
34,55.94316076795707,0,0,0,0
35,56.04280737968064,0,0,0,0
36,55.51812097324979,0,0,0,0
37,56.13452711717568,0,0,0,0
38,55.65564092015652,0,0,0,0
39,56.14533018272754,0,0,0,0
40,56.149360070990696,0,0,0,0
41,56.620592257588356,0,0,0,0
42,57.138814563059995,0,0,0,0
43,56.75185954075292,0,0,0,0
44,56.46173603851616,0,0,0,0
45,56.36297759117018,0,0,0,0
46,56.61376853615543,0,0,0,0
47,56.060374630776835,0,0,0,0
48,56.353391045407136,0,0,0,0
49,57.488461956383034,0,0,0,0
50,56.786699433259784,0,0,0,0
51,57.61137308489038,0,0,0,0
52,56.22837763700441,0,0,0,0
53,57.3575752205886,0,0,0,0
54,56.699308031622984,0,0,0,0
55,56.66150236681188,0,0,0,0
56,56.239394668417546,0,0,0,0
57,56.45996614992831,0,0,0,0
58,58.426732510466955,0,0,0,0
59,57.466326244392924,0,0,0,0
60,57.75753230161776,50,50,50,50
61,57.87137977579647,50,50,50,50
62,56.50766366577021,50,50,50,50
63,56.582746071757335,50,50,50,50
64,57.3639311913131,50,50,50,50
65,57.553429894783235,50,50,50,50
66,57.04350080317749,50,50,50,50
67,58.04027598049766,50,50,50,50
68,57.430108323695144,50,50,50,50
69,56.73415411406778,50,50,50,50
70,58.64651539192449,50,50,50,50
71,56.313113710919474,50,50,50,50
72,56.76717874230492,50,50,50,50
73,58.51150426937041,50,50,50,50
74,57.14798017961831,50,50,50,50
75,58.47896413702719,50,50,50,50
76,57.39176732314359,50,50,50,50
77,57.16916530555554,50,50,50,50
78,58.39572259435266,50,50,50,50
79,57.00191420577047,50,50,50,50
80,57.86993390098856,50,50,50,50
81,59.231829984737246,50,50,50,50
82,59.57625913721202,50,50,50,50
83,61.85315455301729,50,50,50,50
84,61.380979624331964,50,50,50,50
85,61.45714068580174,50,50,50,50
86,62.60042632179374,50,50,50,50
87,59.73966306877179,50,50,50,50
88,61.233139208454396,50,50,50,50
89,60.11894324958667,50,50,50,50
90,61.34667721209765,50,50,50,50
91,60.65855760425146,50,50,50,50
92,61.7467401411262,50,50,50,50
93,60.42841910956869,50,50,50,50
94,60.43644039615278,50,50,50,50
95,60.56599601367638,50,50,50,50
96,60.109549803053845,50,50,50,50
97,61.632180144112546,50,50,50,50
98,60.97708581695673,50,50,50,50
99,60.71681773606243,50,50,50,50
