,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc
0,30.42666666666667,39.626666666666665,40.54666666666667,40.54666666666667,50.18666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.0
1,63.65333333333333,53.04,61.22666666666666,47.85333333333333,44.61333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6187,0.0
2,60.01333333333333,65.22666666666666,66.08000000000001,67.05333333333333,64.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118,0.0
3,64.36,64.68,65.50666666666667,66.34666666666666,69.98666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7263,0.0
4,65.65333333333334,67.57333333333332,67.92,65.86666666666666,64.98666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266,0.0
5,70.17333333333333,69.21333333333334,65.64,69.77333333333333,68.18666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7383,0.0
6,67.47999999999999,68.2,69.61333333333334,67.45333333333333,69.58666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421,0.0
7,70.04,68.33333333333333,65.85333333333332,69.14666666666666,69.13333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393,0.0
8,68.08,69.84,67.80000000000001,66.30666666666667,70.41333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7389,0.0
9,69.88,69.62666666666667,66.60000000000001,69.58666666666666,70.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364,0.0
10,67.90666666666667,68.92,68.8,68.88,69.50666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7377,0.0
11,70.08,68.18666666666667,69.69333333333333,69.28,68.29333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406,0.0
12,69.6,70.45333333333333,69.69333333333333,69.94666666666667,70.86666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7395,0.0
13,70.32000000000001,70.46666666666667,70.92,69.76,69.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7386,0.0
14,70.04,69.13333333333334,69.25333333333333,70.41333333333334,70.54666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7377,0.0
15,69.93333333333334,68.05333333333333,70.04,67.37333333333333,71.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7338,0.0
16,71.16,70.74666666666667,69.22666666666667,69.45333333333333,70.30666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7375,0.0
17,69.82666666666667,70.96000000000001,70.53333333333333,69.76,70.09333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385,0.0
18,69.36,70.86666666666666,70.81333333333333,70.17333333333333,70.25333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7361,0.0
19,70.24000000000001,70.54666666666667,68.74666666666667,70.84,69.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7383,0.0
20,69.18666666666667,68.85333333333334,69.6,69.16,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7386,0.0
21,67.65333333333334,70.28,69.73333333333333,70.38666666666667,70.69333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306,0.0
22,67.05333333333333,68.97333333333333,69.76,68.49333333333333,69.67999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7331,0.0
23,69.24,67.52,69.25333333333333,68.62666666666667,70.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7315,0.0
24,69.37333333333333,69.66666666666667,70.24000000000001,70.04,68.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0
25,69.81333333333333,69.98666666666666,70.76,70.57333333333334,69.22666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7334,0.0
26,70.26666666666667,70.52000000000001,68.30666666666667,70.12,69.74666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7332,0.0
27,68.34666666666666,68.21333333333334,69.89333333333333,70.25333333333333,70.37333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7346,0.0
28,70.05333333333333,69.56,70.09333333333333,70.05333333333333,70.82666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7363,0.0
29,69.22666666666667,69.92,70.04,70.45333333333333,70.02666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7324,0.0
30,69.72,70.62666666666667,66.96,69.66666666666667,69.85333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309,0.0
31,71.28,69.74666666666667,65.75999999999999,70.44,70.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7328,0.0
32,70.02666666666667,70.45333333333333,68.72,69.53333333333333,70.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7322,0.0
33,66.62666666666667,69.85333333333334,69.97333333333333,71.2,70.30666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308,0.0
34,69.94666666666667,68.82666666666667,69.45333333333333,70.74666666666667,70.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7334,0.0
35,70.54666666666667,69.82666666666667,69.25333333333333,70.25333333333333,69.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7304,0.0
36,70.39999999999999,69.57333333333334,69.77333333333333,68.17333333333333,70.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308,0.0
37,69.67999999999999,69.69333333333333,70.58666666666666,69.82666666666667,69.90666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333,0.0
38,71.02666666666667,70.44,70.49333333333333,70.78666666666666,69.42666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7303,0.0
