,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,server_attack,server_accuracy
0,47.333333333333336,49.333333333333336,42.66666666666667,37.333333333333336,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3866
1,51.33333333333333,56.666666666666664,54.666666666666664,49.333333333333336,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801
2,41.333333333333336,60.66666666666667,54.0,51.33333333333333,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.6168
3,59.333333333333336,57.99999999999999,59.333333333333336,53.333333333333336,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6422
4,64.0,72.66666666666667,57.99999999999999,64.0,52.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6448
5,54.0,56.666666666666664,57.333333333333336,52.666666666666664,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6619
6,64.66666666666666,56.00000000000001,63.33333333333333,61.33333333333333,55.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.6438
7,56.666666666666664,68.66666666666667,68.66666666666667,64.66666666666666,67.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6758
8,73.33333333333333,66.0,70.66666666666667,76.0,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.681
9,73.33333333333333,65.33333333333333,54.666666666666664,60.66666666666667,73.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6721
10,80.0,78.0,76.66666666666667,59.333333333333336,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6765
11,80.0,67.33333333333333,68.66666666666667,62.0,61.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6672
12,73.33333333333333,69.33333333333334,81.33333333333333,50.0,79.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6864
13,76.0,78.66666666666666,60.0,82.66666666666667,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6879
14,66.66666666666666,71.33333333333334,74.0,68.66666666666667,68.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6881
15,65.33333333333333,78.66666666666666,82.0,80.0,79.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6854
16,54.666666666666664,80.0,78.0,78.66666666666666,81.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6539
17,71.33333333333334,64.66666666666666,68.66666666666667,82.66666666666667,56.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6609
18,66.0,87.33333333333333,80.0,78.66666666666666,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6662
