,client_accuracy_1,client_accuracy_6,client_accuracy_4,client_accuracy_9,client_accuracy_3,client_accuracy_8,client_accuracy_5,client_accuracy_7,client_accuracy_2,client_accuracy_0,client_attack_1,client_attack_6,client_attack_4,client_attack_9,client_attack_3,client_attack_8,client_attack_5,client_attack_7,client_attack_2,client_attack_0,client_auc_1,client_auc_6,client_auc_4,client_auc_9,client_auc_3,client_auc_8,client_auc_5,client_auc_7,client_auc_2,client_auc_0,server_attack,server_accuracy,server_auc
0,13.52118386377458,11.494019866207177,13.399554023920535,14.109061423069127,15.528076221366307,15.609162781269003,13.987431583215082,15.83215082100142,14.352321102777216,14.595580782485303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20283391782043744,0.0
1,21.06223393472532,23.211027772146767,23.27184269207379,25.23819176971417,25.54226636934928,23.47455909183053,24.508412730589903,22.643421852827895,23.81917697141699,24.812487330225018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3527599278344246,0.0
2,28.826272045408473,31.36022704236773,31.968376241637948,33.24548956010541,31.56294344212447,30.9142509629029,31.745388201905534,30.002027163997568,29.434421244678692,32.77924184066491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44689951551762586,0.0
3,35.860531116967366,36.12406243665113,35.47536995742956,37.259274275288874,36.347050476383544,33.40766267991081,36.488951956213256,32.71842692073788,36.38759375633489,36.00243259679708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48896231578520605,0.0
4,40.07703223190756,39.42833975268599,39.185080072977904,40.64463815122644,40.178390431785935,40.11757551185891,40.178390431785935,35.63754307723495,38.799918913440095,38.982363673221165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5241126269485719,0.0
5,41.232515710520985,43.66511250760187,42.44881410906142,42.81370362862356,41.3744171903507,40.07703223190756,42.55017230893979,41.110885870666934,41.050070950739915,42.36772754915873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384038434250269,0.0
6,42.40827082911007,44.80032434623961,42.79343198864788,43.38130954794243,43.259679708088385,44.5773363065072,42.42854246908575,41.921751469693895,43.19886478816136,45.14494222582607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5554722182805943,0.0
7,44.33407662679911,46.64504358402595,45.42874518548551,45.77336306507196,44.80032434623961,45.91526454490168,44.59760794648287,45.509831745388205,47.27346442327185,43.54348266774782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5674119721878738,0.0
8,45.53010338536387,47.293736063247515,48.04378674234746,46.88830326373404,47.27346442327185,47.861341982566394,48.591121021690654,46.01662274478005,48.89519562132577,45.93553618487736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5740879636199009,0.0
9,48.08433002229881,47.88161362254206,47.75998378268802,48.93573890127711,47.98297182242043,48.61139266166633,48.40867626190959,48.388404621933915,48.18568822217718,48.104601662274476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585324981586967,0.0
