,client_accuracy_3,client_accuracy_1,client_accuracy_2,client_accuracy_0,client_accuracy_4
0,3.780700513835855,29.698769622401354,38.22184509498892,60.16122189223589,60.82590864092773
1,61.5283081129496,70.85749304671664,35.218969499835005,76.12784613208882,59.92551737142319
2,78.44717861688586,78.90915947767878,72.98354782444727,77.9804836656767,75.31230849007684
3,79.96982982133596,80.24324706547871,81.49248102578608,76.77839060953188,80.32810069297129
4,84.07580257389337,84.00980530806581,80.86079291000802,83.58082308018668,74.84561353886767
5,85.79644557582614,85.24961108754066,84.89134021590534,84.35864799886862,83.660962617263
6,81.71875736576627,82.25144958280299,84.12294347805592,84.4529298071937,81.5726205628624
7,84.69334841842266,81.13892424456701,84.36807617970112,82.83128270400226,81.03992834582567
8,87.02210908405223,85.12704473671805,80.09711026257483,84.50949889218874,84.76405977466648
9,83.11884221939377,84.57078206760006,82.35987366237684,86.8712581907321,85.22132654504313
10,87.13524725404234,86.23485598453779,86.58841276575686,76.55682835996794,86.59784094658936
11,84.73106114175269,85.65502286333852,84.36807617970112,86.90897091406214,87.13524725404234
12,86.6968368453307,85.35803516711451,84.82534295007778,86.63555366991939,86.34328006411162
13,85.35332107669825,86.42341960118796,87.88007353981048,86.1311459953802,86.40927732993919
14,85.95672464997878,85.70216376750106,87.79521991231792,85.60316786875973,87.58779993400273
15,88.14877669353697,84.08994484514213,87.34738132277377,87.11167680196105,86.47056050535049
16,87.84707490689672,87.0456795361335,86.3055673407816,86.80054683448829,86.58841276575686
17,87.81407627398293,85.11290246546929,86.72983547824448,87.07396407863102,87.33323905152501
18,86.39042096827417,86.86183000989959,86.2537123462028,85.86715693206996,86.81468910573706
19,87.85650308772922,86.33856597369538,85.87187102248622,87.42752085985009,85.48531560835336
20,86.76283411115826,88.01678216188186,86.99853863197096,87.68208174232782,86.84768773865082
21,87.43223495026633,87.57365766275397,87.13524725404234,87.91307217272427,80.77122519209918
22,88.12992033187197,86.23957007495405,87.06453589779852,82.00631688115779,83.13298449064253
23,87.74336491773911,87.39923631735257,84.94790930090039,83.11884221939377,87.7669353698204
24,88.02149625229812,88.12992033187197,86.74397774949324,84.73577523216895,87.49351812567765
25,86.60255503700562,86.95611181822467,87.97906943855183,88.13934851270447,86.51298731909678
26,87.50766039692641,87.96964125771932,86.13586008579645,86.59784094658936,86.97025408947343
27,85.62673832084099,86.36685051619291,87.41337858860133,86.19714326120776,85.85772875123745
28,87.53123084900768,85.47588742752086,86.80526092490453,84.03808985056334,86.61669730825437
29,87.59722811483525,87.64908310941404,87.40395040776882,87.87064535897798,84.06637439306085
30,87.42280676943383,87.611370386084,88.22891623061331,86.0274360062226,88.14406260312073
31,87.47937585442888,87.56894357233772,87.37095177485504,86.89011455239711,87.11639089237731
32,87.13524725404234,85.03747701880921,85.79644557582614,87.6537971998303,86.38570687785791
33,88.51176165558854,86.97025408947343,86.87597228114835,86.6544100315844,82.79356998067223
34,86.19714326120776,85.43817470419083,85.9142978362325,87.0456795361335,86.77226229199077
35,87.00325272238722,87.98849761938435,88.07335124687692,87.93192853438929,87.79993400273418
36,82.50601046528072,87.5500872106727,87.76222127940414,84.61320888134635,87.88478763022674
37,87.69150992316033,84.6697779663414,87.05982180738226,88.31848394852213,88.04978079479564
38,87.60665629566775,87.31438268986,86.73454956866073,87.23895724319992,84.69806250883892
39,88.20534577853203,87.89421581105925,86.183000989959,86.43284778202046,87.34738132277377
40,91.3260736340923,91.264790458681,91.35435817658983,91.13751001744214,91.46278225616368
41,91.15636637910715,91.52877952199123,91.25536227784849,91.264790458681,91.34021590534105
42,91.37321453825484,91.55706406448876,91.47692452741244,91.33550181492481,91.46749634657992
43,91.29778909159477,91.09979729411211,91.35435817658983,91.40621317116863,91.50520906990997
44,91.3873568095036,91.44392589449866,91.48635270824495,91.50520906990997,91.44392589449866
45,91.21764955451846,91.26007636826475,91.34964408617357,91.53820770282374,91.44863998491492
46,91.43449771366615,91.48635270824495,91.2129354641022,91.42978362324989,91.3873568095036
47,91.12808183660962,91.41564135200113,91.55706406448876,91.3873568095036,87.79993400273418
48,91.3166454532598,91.36378635742234,91.29307500117852,91.47692452741244,87.88478763022674
49,91.39207089991986,91.49578088907745,91.64191769198133,91.33550181492481,88.04978079479564
50,91.29307500117852,91.26007636826475,91.33078772450855,91.57592042615377,84.69806250883892
51,91.29778909159477,91.41564135200113,91.38264271908734,91.43449771366615,87.34738132277377
52,91.4816386178287,91.50520906990997,91.40149908075237,91.5334936124075,91.46278225616368
53,91.34021590534105,91.18465092160469,91.50520906990997,91.54292179324,91.34021590534105
54,91.31193136284354,91.7173431386414,91.45806816574742,91.69848677697638,91.46749634657992
55,91.42035544241739,91.56177815490501,91.39207089991986,91.62306133031632,91.50520906990997
56,91.61834723990006,91.31193136284354,91.37321453825484,91.68434450572762,91.44392589449866
57,91.51935134115872,91.64191769198133,91.3779286286711,91.62306133031632,91.44863998491492
58,91.2742186395135,91.2742186395135,91.3779286286711,91.72677131947391,91.3873568095036
59,91.16579455993966,91.19407910243719,91.33078772450855,91.62306133031632,91.34964408617357
60,91.52406543157497,91.34492999575731,91.45335407533116,91.75976995238769,91.4392118040824
61,91.38264271908734,91.26007636826475,91.44863998491492,91.58063451657003,91.19407910243719
62,91.36850044783858,91.45806816574742,91.46278225616368,91.63720360156508,91.35907226700608
63,91.07622684203082,91.07151275161458,91.42978362324989,91.68434450572762,91.61834723990006
64,91.09036911327959,91.50992316032621,90.96308867204073,91.07151275161458,91.46278225616368
65,91.47692452741244,91.6654881440626,91.59477678781879,91.95776174987036,91.33078772450855
66,91.47692452741244,90.93951821995945,91.10451138452835,91.57592042615377,91.63248951114883
67,91.02908593786829,91.67491632489511,91.29778909159477,90.24183283835384,91.3873568095036
68,91.15636637910715,91.42506953283363,91.42035544241739,91.48635270824495,91.34964408617357
69,91.23179182576722,91.27893272992976,91.69848677697638,90.86409277329939,91.4392118040824
