,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_data_parameters_memory_usage_2,client_data_parameters_memory_usage_0,client_data_parameters_memory_usage_1,client_data_parameters_memory_usage_4,client_data_parameters_memory_usage_3,client_model_parameters_memory_usage_2,client_model_parameters_memory_usage_0,client_model_parameters_memory_usage_1,client_model_parameters_memory_usage_4,client_model_parameters_memory_usage_3,client_training_memory_usage_2,client_training_memory_usage_0,client_training_memory_usage_1,client_training_memory_usage_4,client_training_memory_usage_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,10.2,10.24,9.76,9.976,9.991999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165,0.0,4.147258996963501,4.129653453826904,4.084403038024902,4.146836042404175,4.085108041763306,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04069924354553223,1.0394058227539062,5.194587707519531,0
1,9.872,9.472,9.984,10.168000000000001,9.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,4.084602355957031,4.370189905166626,4.450431823730469,4.1429808139801025,4.465685606002808,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.042389869689941406,1.0394058227539062,5.194587707519531,0
2,10.256,10.184,10.264,9.584,10.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.09576678276062,4.240342855453491,4.103232145309448,4.210536956787109,4.120492219924927,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04106640815734863,1.0394058227539062,5.194587707519531,0
3,9.847999999999999,10.312000000000001,9.912,9.984,10.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024,0.0,4.069382667541504,4.080240726470947,4.180822849273682,4.1770007610321045,4.1564226150512695,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04487490653991699,1.0394058227539062,5.194587707519531,0
4,9.815999999999999,10.552,10.056,10.232,9.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963,0.0,4.5631749629974365,4.636773586273193,4.7179858684539795,4.418729782104492,4.588035345077515,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04343533515930176,1.0394058227539062,5.194587707519531,0
5,10.0,10.671999999999999,10.16,9.656,10.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957,0.0,4.026446580886841,4.066727876663208,4.08268141746521,4.113577365875244,4.077801942825317,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04138946533203125,1.0394058227539062,5.194587707519531,0
6,10.448,10.584,10.104000000000001,9.8,9.687999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981,0.0,3.9793591499328613,4.011991262435913,4.007267713546753,3.983829975128174,4.175370693206787,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04714655876159668,1.0394058227539062,5.194587707519531,0
7,10.264,10.552,9.776,10.488,10.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936,0.0,4.278106927871704,4.558089017868042,4.016308784484863,4.247247695922852,4.5931103229522705,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.041367292404174805,1.0394058227539062,5.194587707519531,0
8,10.52,10.408000000000001,10.112,10.136000000000001,10.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1014,0.0,4.0496015548706055,4.059901714324951,4.002569198608398,3.958483934402466,4.073716163635254,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04181218147277832,1.0394058227539062,5.194587707519531,0
9,9.832,10.448,10.216,10.152,10.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957,0.0,3.9701693058013916,4.519362449645996,4.506796598434448,4.6133904457092285,3.9566471576690674,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04713320732116699,1.0394058227539062,5.194587707519531,0
