,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,48.34243302769915,0,0,0,0
1,49.83881790674302,0,0,0,0
2,57.572281113117626,0,0,0,0
3,63.43076844957942,0,0,0,0
4,64.91413843569491,0,0,0,0
5,60.776863827134385,0,0,0,0
6,68.34557160961523,0,0,0,0
7,72.87103017049989,0,0,0,0
8,65.89210754067811,0,0,0,0
9,71.19674121633714,0,0,0,0
10,73.70476206917523,0,0,0,0
11,71.60047567813092,0,0,0,0
12,72.73428860912172,0,0,0,0
13,74.10254163469179,0,0,0,0
14,72.49469411983385,0,0,0,0
15,69.33672389531296,0,0,0,0
16,75.5924586854562,0,0,0,0
17,64.2088818163716,0,0,0,0
18,74.57895789574819,0,0,0,0
19,72.94002964773907,0,0,0,0
20,74.64378799953819,0,0,0,0
21,74.47516356914645,0,0,0,0
22,71.08734589272751,0,0,0,0
23,75.20828688328668,0,0,0,0
24,71.89241205488376,0,0,0,0
25,74.63634534896158,0,0,0,0
26,75.74818167255205,0,0,0,0
27,75.78870106875043,0,0,0,0
28,72.68905533052012,0,0,0,0
29,76.69657275895324,0,0,0,0
30,73.74612329589377,0,0,0,0
31,74.05505618330943,0,0,0,0
32,76.77847470816236,0,0,0,0
33,74.36144059614153,0,0,0,0
34,74.1233199198909,0,0,0,0
35,75.67316060885767,0,0,0,0
36,78.47680075396967,0,0,0,0
37,74.7996656322443,0,0,0,0
38,74.822970099066,0,0,0,0
39,76.38115134077695,0,0,0,0
40,74.74799428571377,0,0,0,0
41,75.82093921742653,0,0,0,0
42,75.80272296206451,0,0,0,0
43,75.64515436893942,0,0,0,0
44,75.84151280232292,0,0,0,0
45,76.13564706999998,0,0,0,0
46,74.4178950172197,0,0,0,0
47,76.19336146016308,0,0,0,0
48,75.53083630311167,0,0,0,0
49,76.7171748753919,0,0,0,0
50,74.8397870469459,0,0,0,0
51,73.668767483045,0,0,0,0
52,75.28349527308713,0,0,0,0
53,76.54508883887834,0,0,0,0
54,73.75683938215501,0,0,0,0
55,75.49224346154011,0,0,0,0
56,75.82878165719251,0,0,0,0
57,74.7602070807527,0,0,0,0
58,75.02321312112159,0,0,0,0
59,77.6368187705371,0,0,0,0
60,76.39287578265808,50,50,50,50
61,76.84841645497151,50,50,50,50
62,73.79983084307422,50,50,50,50
63,76.92965424758933,50,50,50,50
64,72.7113242648634,50,50,50,50
65,76.71883599410357,50,50,50,50
66,71.86455803419504,50,50,50,50
67,75.60778805166203,50,50,50,50
68,73.58721617259212,50,50,50,50
69,74.42463789751096,50,50,50,50
70,75.62028961260516,50,50,50,50
71,75.99940229570053,50,50,50,50
72,76.5271861102885,50,50,50,50
73,75.60783361793717,50,50,50,50
74,75.02411810553369,50,50,50,50
75,77.35730332063638,50,50,50,50
76,76.61347950613907,50,50,50,50
77,73.20708250552671,50,50,50,50
78,78.1250631777607,50,50,50,50
79,75.6161283642128,50,50,50,50
80,72.47568388712043,50,50,50,50
81,75.62513671101262,50,50,50,50
82,74.07218696635073,50,50,50,50
83,74.38870480180938,50,50,50,50
84,76.35455848156576,50,50,50,50
85,74.73070787350474,50,50,50,50
86,76.51662043316675,50,50,50,50
87,76.04879104529805,50,50,50,50
88,77.76215355752467,50,50,50,50
89,76.31912417157967,50,50,50,50
90,73.55763054170669,50,50,50,50
91,75.153941072393,50,50,50,50
92,75.00820258861934,50,50,50,50
93,73.50898012514361,50,50,50,50
94,73.84028903932281,50,50,50,50
95,75.50741246657323,50,50,50,50
96,74.47402143738299,50,50,50,50
97,75.51890955520773,50,50,50,50
98,74.32602316194502,50,50,50,50
99,74.52462399005506,50,50,50,50
