,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,47.197247385444314,0.0,0.0,0.0,0.0
1,49.548286166672824,0.0,0.0,0.0,0.0
2,57.190150066116594,0.0,0.0,0.0,0.0
3,62.4363748100187,0.0,0.0,0.0,0.0
4,64.24864809627577,0.0,0.0,0.0,0.0
5,60.30037948352965,0.0,0.0,0.0,0.0
6,68.0234912363743,0.0,0.0,0.0,0.0
7,72.34197185156586,0.0,0.0,0.0,0.0
8,65.57792261464007,0.0,0.0,0.0,0.0
9,70.54715103735157,0.0,0.0,0.0,0.0
10,72.80206949804781,0.0,0.0,0.0,0.0
11,71.82629891089888,0.0,0.0,0.0,0.0
12,72.41465057644332,0.0,0.0,0.0,0.0
13,73.42587239688287,0.0,0.0,0.0,0.0
14,71.68770561988053,0.0,0.0,0.0,0.0
15,69.1499500708302,0.0,0.0,0.0,0.0
16,75.04418565468289,0.0,0.0,0.0,0.0
17,63.66620744618124,0.0,0.0,0.0,0.0
18,74.32883012511071,0.0,0.0,0.0,0.0
19,72.26534768558413,0.0,0.0,0.0,0.0
20,74.49860419281876,0.0,0.0,0.0,0.0
21,73.5260008668519,0.0,0.0,0.0,0.0
22,71.25818002216944,0.0,0.0,0.0,0.0
23,74.60244292339483,0.0,0.0,0.0,0.0
24,71.30604875223338,0.0,0.0,0.0,0.0
25,74.3942105130195,0.0,0.0,0.0,0.0
26,75.79795076862904,0.0,0.0,0.0,0.0
27,75.34709110871233,0.0,0.0,0.0,0.0
28,71.47965693192683,0.0,0.0,0.0,0.0
29,75.7732024660844,0.0,0.0,0.0,0.0
30,73.66673258679462,0.0,0.0,0.0,0.0
31,73.76024362196003,0.0,0.0,0.0,0.0
32,76.13935681180112,0.0,0.0,0.0,0.0
33,74.02646054514915,0.0,0.0,0.0,0.0
34,74.0777438431619,0.0,0.0,0.0,0.0
35,75.40026128846387,0.0,0.0,0.0,0.0
36,78.27577578727457,0.0,0.0,0.0,0.0
37,74.49015471344927,0.0,0.0,0.0,0.0
38,74.84951165259976,0.0,0.0,0.0,0.0
39,75.86870178315073,0.0,0.0,0.0,0.0
40,73.85521204779674,0.0,0.0,0.0,0.0
41,75.56308449022593,0.0,0.0,0.0,0.0
42,75.11877759323626,0.0,0.0,0.0,0.0
43,75.08739107942773,0.0,0.0,0.0,0.0
44,75.16773122906618,0.0,0.0,0.0,0.0
45,75.46626825059025,0.0,0.0,0.0,0.0
46,73.91314304186895,0.0,0.0,0.0,0.0
47,75.5410217052102,0.0,0.0,0.0,0.0
48,74.84802144595908,0.0,0.0,0.0,0.0
49,76.46312180481452,0.0,0.0,0.0,0.0
50,74.44358366509353,0.0,0.0,0.0,0.0
51,73.11196090388599,0.0,0.0,0.0,0.0
52,74.91763471165973,0.0,0.0,0.0,0.0
53,75.75513963561409,0.0,0.0,0.0,0.0
54,73.68238710602209,0.0,0.0,0.0,0.0
55,75.5470101431829,0.0,0.0,0.0,0.0
56,75.63981539770133,0.0,0.0,0.0,0.0
57,74.23577985852143,0.0,0.0,0.0,0.0
58,74.60437808835155,0.0,0.0,0.0,0.0
59,76.688253034988,0.0,0.0,0.0,0.0
60,76.52314163015238,54.31,54.89,59.31,54.89
61,76.07497369535092,54.31,54.89,59.31,54.89
62,72.9184408040732,54.31,54.89,59.31,54.89
63,76.55132233381724,54.31,54.89,59.31,54.89
64,71.77053505892505,54.31,54.89,59.31,54.89
65,76.0863751657033,54.31,54.89,59.31,54.89
66,71.48275728755836,54.31,54.89,59.31,54.89
67,74.56097759381207,54.31,54.89,59.31,54.89
68,73.20466110618642,54.31,54.89,59.31,54.89
69,73.73033343079913,54.31,54.89,59.31,54.89
70,75.38981311677396,54.31,54.89,59.31,54.89
71,75.07567339990192,54.31,54.89,59.31,54.89
72,76.02412694130543,54.31,54.89,59.31,54.89
73,75.06315844451728,54.31,54.89,59.31,54.89
74,75.23934286985644,54.31,54.89,59.31,54.89
75,76.83986186229338,54.31,54.89,59.31,54.89
76,75.53558702625791,54.31,54.89,59.31,54.89
77,72.46875758176651,54.31,54.89,59.31,54.89
78,77.29340933463283,54.31,54.89,59.31,54.89
79,75.05049043689066,54.31,54.89,59.31,54.89
80,72.07029791310309,54.31,54.89,59.31,54.89
81,75.39086330423136,54.31,54.89,59.31,54.89
82,73.63473994246817,54.31,54.89,59.31,54.89
83,73.30880227124521,54.31,54.89,59.31,54.89
84,76.23738489831774,54.31,54.89,59.31,54.89
85,74.11111078383578,54.31,54.89,59.31,54.89
86,75.88429703497079,54.31,54.89,59.31,54.89
87,75.96261565955344,54.31,54.89,59.31,54.89
88,77.50362687562637,54.31,54.89,59.31,54.89
89,76.05052649585556,54.31,54.89,59.31,54.89
90,73.50491808054862,54.31,54.89,59.31,54.89
91,74.81547478908314,54.31,54.89,59.31,54.89
92,74.85274739367283,54.31,54.89,59.31,54.89
93,73.14890319924658,54.31,54.89,59.31,54.89
94,72.96385536289647,54.31,54.89,59.31,54.89
95,74.98073010426742,54.31,54.89,59.31,54.89
96,73.82181875510348,54.31,54.89,59.31,54.89
97,74.83185514103518,54.31,54.89,59.31,54.89
98,74.34522579754785,54.31,54.89,59.31,54.89
99,74.0568732475321,54.31,54.89,59.31,54.89
