,client_accuracy_6,client_accuracy_3,client_accuracy_5,client_accuracy_1,client_accuracy_2,client_accuracy_0,client_accuracy_4,client_accuracy_8,client_accuracy_7,client_accuracy_9,client_attack_6,client_attack_3,client_attack_5,client_attack_1,client_attack_2,client_attack_0,client_attack_4,client_attack_8,client_attack_7,client_attack_9,server_attack,server_accuracy
0,46.3963963963964,46.3963963963964,45.94594594594595,43.24324324324324,47.2972972972973,41.891891891891895,41.44144144144144,44.14414414414414,42.34234234234234,52.25225225225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351977851813617
1,53.6036036036036,57.20720720720721,53.153153153153156,52.25225225225225,58.108108108108105,53.6036036036036,50.45045045045045,54.5045045045045,50.0,59.909909909909906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661564450283891
2,58.108108108108105,65.31531531531532,63.06306306306306,59.009009009009006,62.612612612612615,58.108108108108105,59.009009009009006,61.261261261261254,59.909909909909906,70.72072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7120735770259491
3,66.21621621621621,65.76576576576578,64.86486486486487,65.76576576576578,66.66666666666666,63.51351351351351,67.11711711711712,66.21621621621621,62.16216216216216,73.87387387387388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421613251372531
4,64.41441441441441,71.62162162162163,69.81981981981981,68.91891891891892,71.17117117117117,65.31531531531532,69.36936936936937,71.17117117117117,65.76576576576578,79.72972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633522593965558
5,66.21621621621621,71.62162162162163,71.62162162162163,71.17117117117117,72.52252252252252,68.46846846846847,72.07207207207207,71.17117117117117,67.11711711711712,80.18018018018019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7758059218244099
6,69.36936936936937,73.87387387387388,70.72072072072072,72.52252252252252,73.42342342342343,71.62162162162163,74.77477477477478,71.62162162162163,67.11711711711712,82.88288288288288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858195298202806
7,72.52252252252252,73.42342342342343,74.77477477477478,73.42342342342343,74.32432432432432,72.52252252252252,75.67567567567568,74.32432432432432,67.56756756756756,82.88288288288288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7931115386420159
8,70.27027027027027,76.12612612612612,75.22522522522522,73.42342342342343,78.37837837837837,74.32432432432432,75.22522522522522,74.77477477477478,72.97297297297297,85.13513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7989207451550843
9,73.87387387387388,74.77477477477478,75.22522522522522,74.77477477477478,75.67567567567568,73.87387387387388,74.32432432432432,78.82882882882883,71.17117117117117,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038102388437895
