,client_accuracy_8,client_accuracy_5,client_accuracy_3,client_accuracy_4,client_accuracy_2,client_accuracy_0,client_accuracy_6,client_accuracy_1,client_accuracy_7,client_accuracy_9,client_loss_8,client_loss_5,client_loss_3,client_loss_4,client_loss_2,client_loss_0,client_loss_6,client_loss_1,client_loss_7,client_loss_9,client_accuracy_per_epoch8,client_accuracy_per_epoch5,client_accuracy_per_epoch3,client_accuracy_per_epoch4,client_accuracy_per_epoch2,client_accuracy_per_epoch0,client_accuracy_per_epoch6,client_accuracy_per_epoch1,client_accuracy_per_epoch7,client_accuracy_per_epoch9,client_loss_per_epoch8,client_loss_per_epoch5,client_loss_per_epoch3,client_loss_per_epoch4,client_loss_per_epoch2,client_loss_per_epoch0,client_loss_per_epoch6,client_loss_per_epoch1,client_loss_per_epoch7,client_loss_per_epoch9,client_attack_8,client_attack_5,client_attack_3,client_attack_4,client_attack_2,client_attack_0,client_attack_6,client_attack_1,client_attack_7,client_attack_9,client_auc_8,client_auc_5,client_auc_3,client_auc_4,client_auc_2,client_auc_0,client_auc_6,client_auc_1,client_auc_7,client_auc_9,server_attack,server_accuracy,server_auc,client_layer_leakage_8,client_layer_leakage_5,client_layer_leakage_3,client_layer_leakage_4,client_layer_leakage_2,client_layer_leakage_0,client_layer_leakage_6,client_layer_leakage_1,client_layer_leakage_7,client_layer_leakage_9,server_layer_leakage,client_round_duration_8,client_round_duration_5,client_round_duration_3,client_round_duration_4,client_round_duration_2,client_round_duration_0,client_round_duration_6,client_round_duration_1,client_round_duration_7,client_round_duration_9,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,16.11370386084005,15.782774713619007,17.768349596945267,19.287229529062365,18.065337293169286,18.871446754348746,16.750106067034366,17.471361900721256,16.21552821383114,15.545184556639796,3.5564066797494887,3.5516740411520002,3.560441571474075,3.592127850651741,3.549607667326927,3.560327413678169,3.486226025223732,3.495300444960594,3.5566484957933424,3.5695041745901106,"[5.084745762711865, 9.322033898305085, 11.016949152542372, 7.627118644067797, 9.322033898305085, 11.016949152542372, 11.864406779661017, 11.864406779661017, 12.711864406779661, 16.11370386084005]","[5.932203389830509, 10.16949152542373, 13.559322033898304, 14.40677966101695, 16.101694915254235, 15.254237288135593, 16.101694915254235, 15.254237288135593, 15.254237288135593, 15.782774713619007]","[5.932203389830509, 9.322033898305085, 8.47457627118644, 12.711864406779661, 16.101694915254235, 15.254237288135593, 15.254237288135593, 15.254237288135593, 16.94915254237288, 17.768349596945267]","[5.932203389830509, 8.47457627118644, 8.47457627118644, 10.16949152542373, 15.254237288135593, 13.559322033898304, 19.491525423728813, 19.491525423728813, 17.796610169491526, 19.287229529062365]","[2.5423728813559325, 6.779661016949152, 6.779661016949152, 10.16949152542373, 12.711864406779661, 16.94915254237288, 21.1864406779661, 17.796610169491526, 17.796610169491526, 18.065337293169286]","[1.694915254237288, 5.932203389830509, 11.864406779661017, 7.627118644067797, 10.16949152542373, 13.559322033898304, 16.94915254237288, 14.40677966101695, 17.796610169491526, 18.871446754348746]","[5.932203389830509, 6.779661016949152, 10.16949152542373, 13.559322033898304, 11.864406779661017, 14.40677966101695, 15.254237288135593, 16.94915254237288, 16.101694915254235, 16.750106067034366]","[5.084745762711865, 5.084745762711865, 6.779661016949152, 12.711864406779661, 19.491525423728813, 17.796610169491526, 20.33898305084746, 21.1864406779661, 22.033898305084744, 17.471361900721256]","[11.864406779661017, 15.254237288135593, 16.101694915254235, 16.101694915254235, 16.94915254237288, 18.64406779661017, 20.33898305084746, 22.033898305084744, 22.88135593220339, 16.21552821383114]","[5.932203389830509, 6.779661016949152, 8.47457627118644, 9.322033898305085, 10.16949152542373, 11.864406779661017, 10.16949152542373, 11.016949152542372, 13.559322033898304, 15.545184556639796]","[4.437724351882935, 4.161035716533661, 3.933124214410782, 3.6986502408981323, 3.52027490735054, 3.3954113125801086, 3.257940322160721, 3.128163129091263, 3.074053645133972, 2.957688957452774]","[4.450039744377136, 4.1415795981884, 3.901528537273407, 3.706347346305847, 3.511853575706482, 3.38996684551239, 3.252927780151367, 3.1394256949424744, 3.0469536781311035, 2.9761176109313965]","[4.434087693691254, 4.178028047084808, 3.9764879941940308, 3.7634251415729523, 3.5710767805576324, 3.3968447148799896, 3.2502949833869934, 3.128367453813553, 3.012577176094055, 2.8932257294654846]","[4.501909554004669, 4.226238429546356, 3.95662859082222, 3.7649620175361633, 3.585187077522278, 3.417959690093994, 3.313749670982361, 3.1616767048835754, 3.0547282099723816, 2.938238561153412]","[4.467134952545166, 4.174636662006378, 3.9263901114463806, 3.7321236729621887, 3.539689540863037, 3.376724600791931, 3.2270044684410095, 3.1281803250312805, 3.0134997069835663, 2.9106926321983337]","[4.454059660434723, 4.165564954280853, 3.9135570228099823, 3.724131077528, 3.5732462406158447, 3.4156579673290253, 3.2524318397045135, 3.1503182649612427, 3.021533727645874, 2.932773381471634]","[4.44425642490387, 4.165930867195129, 3.8908101320266724, 3.6919434666633606, 3.4725815057754517, 3.32919779419899, 3.1444702744483948, 3.021438479423523, 2.897915691137314, 2.803715616464615]","[4.4492210149765015, 4.161941051483154, 3.8784407675266266, 3.6426577270030975, 3.4450540840625763, 3.3034907281398773, 3.193089008331299, 3.0659015476703644, 2.9497105479240417, 2.8634979724884033]","[4.482990145683289, 4.19041383266449, 3.9300039410591125, 3.720801293849945, 3.539072036743164, 3.37737637758255, 3.2483624815940857, 3.1372133791446686, 2.9914903044700623, 2.9487611651420593]","[4.444741070270538, 4.1313886642456055, 3.90827015042305, 3.6956178843975067, 3.549448400735855, 3.388806641101837, 3.314558357000351, 3.180911749601364, 3.078585237264633, 3.002713590860367]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1646246380040098,0,{},{},{},{},{},{},{},{},{},{},{},2.399362802505493,2.3424201011657715,1.9119644165039062,2.406710624694824,2.281916379928589,1.942814588546753,2.3944027423858643,2.225961446762085,2.031157970428467,2.417377471923828,0,0,0,0,0,0,0,0,0,0,1.0573318004608154,,,0
1,28.655070004242685,28.92660161221892,29.333899024183285,29.55451845566398,28.62112855324565,29.215103945693677,27.170131523122613,29.495120916419175,29.94484514212983,28.375053033517183,2.6057177424430846,2.632714979350567,2.5590699449181558,2.627369633316994,2.6574973464012146,2.653329628705978,2.545693516731262,2.586461400985718,2.6600222304463386,2.5483401641249657,"[19.491525423728813, 24.576271186440678, 25.423728813559322, 29.66101694915254, 28.8135593220339, 31.35593220338983, 33.05084745762712, 32.20338983050847, 32.20338983050847, 28.655070004242685]","[18.64406779661017, 23.728813559322035, 25.423728813559322, 27.11864406779661, 27.966101694915253, 29.66101694915254, 33.05084745762712, 31.35593220338983, 33.05084745762712, 28.92660161221892]","[18.64406779661017, 25.423728813559322, 22.033898305084744, 24.576271186440678, 24.576271186440678, 26.27118644067797, 25.423728813559322, 24.576271186440678, 25.423728813559322, 29.333899024183285]","[24.576271186440678, 24.576271186440678, 23.728813559322035, 23.728813559322035, 22.88135593220339, 27.11864406779661, 23.728813559322035, 27.966101694915253, 25.423728813559322, 29.55451845566398]","[22.033898305084744, 25.423728813559322, 28.8135593220339, 29.66101694915254, 29.66101694915254, 27.966101694915253, 27.966101694915253, 25.423728813559322, 27.966101694915253, 28.62112855324565]","[21.1864406779661, 22.88135593220339, 24.576271186440678, 28.8135593220339, 26.27118644067797, 23.728813559322035, 27.11864406779661, 27.11864406779661, 27.11864406779661, 29.215103945693677]","[16.94915254237288, 18.64406779661017, 17.796610169491526, 21.1864406779661, 21.1864406779661, 22.88135593220339, 19.491525423728813, 22.88135593220339, 23.728813559322035, 27.170131523122613]","[20.33898305084746, 24.576271186440678, 22.88135593220339, 27.966101694915253, 26.27118644067797, 27.966101694915253, 27.966101694915253, 27.966101694915253, 27.11864406779661, 29.495120916419175]","[20.33898305084746, 27.966101694915253, 29.66101694915254, 29.66101694915254, 27.966101694915253, 27.966101694915253, 28.8135593220339, 29.66101694915254, 28.8135593220339, 29.94484514212983]","[22.033898305084744, 27.11864406779661, 27.966101694915253, 32.20338983050847, 31.35593220338983, 33.05084745762712, 31.35593220338983, 32.20338983050847, 30.508474576271187, 28.375053033517183]","[3.747670829296112, 3.1732117533683777, 2.855335623025894, 2.671465218067169, 2.5218277871608734, 2.4065606594085693, 2.3067459762096405, 2.202775776386261, 2.1385009735822678, 2.033082827925682]","[3.7254529297351837, 3.194308042526245, 2.9270965456962585, 2.709865689277649, 2.5592768788337708, 2.4359829425811768, 2.331665486097336, 2.235481768846512, 2.127560928463936, 2.0804585814476013]","[3.701152890920639, 3.1420394480228424, 2.8342912793159485, 2.6278326213359833, 2.4710596203804016, 2.3389286398887634, 2.256470263004303, 2.168370932340622, 2.072837084531784, 1.9777166694402695]","[3.749864399433136, 3.1928438544273376, 2.879381090402603, 2.691929817199707, 2.544800579547882, 2.404339522123337, 2.3370284140110016, 2.2364494502544403, 2.1531197130680084, 2.083939492702484]","[3.7806286811828613, 3.1941762566566467, 2.899906188249588, 2.7110463082790375, 2.5660484433174133, 2.47090682387352, 2.353126436471939, 2.287878602743149, 2.19169619679451, 2.1195595264434814]","[3.78095144033432, 3.2308094203472137, 2.909147173166275, 2.7365187406539917, 2.580675482749939, 2.445930153131485, 2.3455857634544373, 2.257499188184738, 2.1561467945575714, 2.0900321304798126]","[3.6887315213680267, 3.1343686282634735, 2.8648765087127686, 2.6271926760673523, 2.4303919970989227, 2.3168637454509735, 2.226115047931671, 2.1460680067539215, 2.034727841615677, 1.9875991940498352]","[3.670964390039444, 3.1587516367435455, 2.8497467637062073, 2.6722153425216675, 2.5217422544956207, 2.378135561943054, 2.2769903242588043, 2.2072141766548157, 2.091526687145233, 2.0373268723487854]","[3.7861764430999756, 3.215472847223282, 2.9139574766159058, 2.713210254907608, 2.5788068175315857, 2.4540951251983643, 2.3618647754192352, 2.289626806974411, 2.1826734840869904, 2.1043382734060287]","[3.6607905328273773, 3.081434339284897, 2.8082971274852753, 2.6274340748786926, 2.4755789935588837, 2.34898179769516, 2.2363788187503815, 2.1485553681850433, 2.070858508348465, 2.0250920802354813]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36177322343506346,0,{},{},{},{},{},{},{},{},{},{},{},2.3668057918548584,1.7180061340332031,2.071282386779785,2.3418192863464355,2.3904519081115723,1.7495806217193604,2.390777826309204,1.8592636585235596,2.428471803665161,2.2288007736206055,0,0,0,0,0,0,0,0,0,0,1.0475506782531738,,,0
2,32.77895630038184,33.805685193042,33.32201951633432,33.50869749681799,32.558336868901144,32.26983453542639,32.719558761137044,33.38141705557913,33.20322443784472,32.940178192617736,2.024703432619572,2.0418289810419084,1.9726080372929573,2.077862296998501,2.072382327914238,2.0992129489779474,1.9712853088974953,1.9811911553144455,2.122424529492855,2.0214997574687006,"[32.20338983050847, 33.89830508474576, 36.440677966101696, 38.13559322033898, 41.52542372881356, 39.83050847457627, 40.67796610169492, 38.13559322033898, 40.67796610169492, 32.77895630038184]","[26.27118644067797, 29.66101694915254, 29.66101694915254, 33.89830508474576, 32.20338983050847, 33.05084745762712, 34.74576271186441, 33.05084745762712, 35.59322033898305, 33.805685193042]","[25.423728813559322, 30.508474576271187, 27.11864406779661, 28.8135593220339, 28.8135593220339, 27.11864406779661, 26.27118644067797, 27.966101694915253, 26.27118644067797, 33.32201951633432]","[33.05084745762712, 31.35593220338983, 30.508474576271187, 32.20338983050847, 31.35593220338983, 31.35593220338983, 31.35593220338983, 29.66101694915254, 29.66101694915254, 33.50869749681799]","[29.66101694915254, 32.20338983050847, 31.35593220338983, 31.35593220338983, 30.508474576271187, 30.508474576271187, 31.35593220338983, 32.20338983050847, 30.508474576271187, 32.558336868901144]","[26.27118644067797, 29.66101694915254, 32.20338983050847, 31.35593220338983, 28.8135593220339, 27.966101694915253, 27.966101694915253, 29.66101694915254, 30.508474576271187, 32.26983453542639]","[31.35593220338983, 32.20338983050847, 30.508474576271187, 28.8135593220339, 28.8135593220339, 30.508474576271187, 29.66101694915254, 32.20338983050847, 33.05084745762712, 32.719558761137044]","[33.89830508474576, 32.20338983050847, 33.89830508474576, 33.89830508474576, 33.89830508474576, 33.89830508474576, 32.20338983050847, 32.20338983050847, 31.35593220338983, 33.38141705557913]","[33.05084745762712, 31.35593220338983, 36.440677966101696, 31.35593220338983, 33.05084745762712, 30.508474576271187, 31.35593220338983, 31.35593220338983, 34.74576271186441, 33.20322443784472]","[30.508474576271187, 30.508474576271187, 31.35593220338983, 32.20338983050847, 31.35593220338983, 33.05084745762712, 30.508474576271187, 31.35593220338983, 30.508474576271187, 32.940178192617736]","[3.114760100841522, 2.4942998588085175, 2.200973778963089, 2.0497686862945557, 1.9052367210388184, 1.8152684420347214, 1.7387952506542206, 1.6964519768953323, 1.6400545239448547, 1.5914249867200851]","[3.0893428325653076, 2.487427294254303, 2.2088871002197266, 2.049906373023987, 1.9110321551561356, 1.8496286571025848, 1.7851232886314392, 1.737779676914215, 1.6693539917469025, 1.6298084408044815]","[3.0440392196178436, 2.4000642597675323, 2.1013626009225845, 1.982006847858429, 1.9016740024089813, 1.7934037148952484, 1.7017933130264282, 1.6499129831790924, 1.6030247509479523, 1.548798680305481]","[3.15387624502182, 2.5543031096458435, 2.2384135127067566, 2.075884625315666, 1.9698339253664017, 1.878997102379799, 1.8114725202322006, 1.7472045421600342, 1.6907546371221542, 1.6578827500343323]","[3.1362287998199463, 2.500449061393738, 2.213599130511284, 2.0892620235681534, 1.9683991819620132, 1.8766933381557465, 1.8205405920743942, 1.7654958665370941, 1.7018619924783707, 1.6512932926416397]","[3.211724430322647, 2.5598851442337036, 2.251567766070366, 2.093253716826439, 1.9965162873268127, 1.9101732969284058, 1.8308202177286148, 1.7446008324623108, 1.722989097237587, 1.6705987006425858]","[3.1118251383304596, 2.418502300977707, 2.1490575820207596, 1.97506682574749, 1.8380250930786133, 1.7537699490785599, 1.6903897374868393, 1.632783681154251, 1.5862782895565033, 1.5571544915437698]","[3.0515369176864624, 2.40771621465683, 2.145497053861618, 1.9800514876842499, 1.8952372819185257, 1.7682975828647614, 1.7149425148963928, 1.6560990363359451, 1.6096369624137878, 1.582896500825882]","[3.2175006568431854, 2.5762703716754913, 2.3061535954475403, 2.1367213428020477, 2.018138825893402, 1.9244827926158905, 1.851924404501915, 1.814899206161499, 1.728783130645752, 1.6493709683418274]","[3.160399466753006, 2.4646553993225098, 2.176167517900467, 2.037647694349289, 1.9144740551710129, 1.8272494971752167, 1.7488181740045547, 1.6769554167985916, 1.6358323693275452, 1.5727979838848114]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40283656345139973,0,{},{},{},{},{},{},{},{},{},{},{},1.8691332340240479,2.6008403301239014,2.4478375911712646,2.301267623901367,2.514758586883545,2.428860902786255,2.4162542819976807,2.229576349258423,1.7684929370880127,2.1476824283599854,0,0,0,0,0,0,0,0,0,0,0.918560266494751,,,0
