,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,0,0,19.183188727873276,22.507667082401618,23.8326521487102,21.990293422440644,19.898266718504036,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,14.982161283493042,15.190640687942505,15.045167207717896,15.115102291107178,14.912437915802002,0,0,0,0,0,0,0,0,0,0,0.50177001953125,,,0
1,1,1,1,28.623188727873277,17.294333749068286,28.179318815376877,21.830293422440644,27.3649333851707,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.1357102394104,15.20021915435791,15.041180849075316,14.977567195892334,14.952510356903076,0,0,0,0,0,0,0,0,0,0,0.3982114791870117,,,0
2,2,2,2,34.36985539453995,29.561000415734956,31.48598548204353,29.696960089107307,30.844933385170705,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.293877601623535,15.313981533050535,15.328061819076538,15.130637645721436,15.273142337799072,0,0,0,0,0,0,0,0,0,0,0.3984758853912353,,,0
3,3,3,3,35.12985539453994,32.96100041573496,33.059318815376876,26.59029342244064,34.164933385170706,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.189434289932253,15.078243017196655,15.356136322021484,15.21092963218689,15.164446830749512,0,0,0,0,0,0,0,0,0,0,0.5017855167388916,,,0
4,4,4,4,35.48985539453994,34.96100041573496,36.35265214871021,35.12362675577398,34.67160005183737,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.13750147819519,15.157038450241089,15.301516771316528,15.254178285598757,15.278583765029907,0,0,0,0,0,0,0,0,0,0,0.4047741889953613,,,0
5,5,5,5,38.15652206120661,31.934333749068287,40.019318815376884,40.443626755773984,39.29826671850404,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.228088140487673,15.16698932647705,15.06559681892395,15.24186658859253,15.268269300460815,0,0,0,0,0,0,0,0,0,0,0.3979439735412597,,,0
6,6,6,6,43.64985539453995,44.01433374906829,44.21931881537688,39.79029342244064,44.19160005183736,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.225342988967896,15.2639319896698,15.344151973724363,15.215060472488403,15.59000277519226,0,0,0,0,0,0,0,0,0,0,0.4003217220306396,,,0
7,7,7,7,48.98318872787328,44.74766708240163,41.93931881537689,45.9369600891073,45.31160005183737,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.170417308807371,15.216295957565308,15.173444032669067,15.197031497955322,15.298076152801514,0,0,0,0,0,0,0,0,0,0,0.5022704601287842,,,0
8,8,8,8,54.943188727873284,44.18766708240162,48.20598548204354,51.04362675577397,49.31160005183737,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205169200897217,15.29154658317566,15.143331050872805,15.23760199546814,15.296299457550049,0,0,0,0,0,0,0,0,0,0,0.5035386085510254,,,0
9,9,9,9,53.80985539453996,56.61433374906829,55.205985482043545,52.9769600891073,50.738266718504036,0.6281610923975754,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205376148223875,15.151497840881348,15.21903109550476,15.181700706481934,15.446735858917236,0,0,0,0,0,0,0,0,0,0,0.4981765747070312,,,0
