,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
10,10,10,10,10,10,10,50.598121758460074,49.85543702803565,50.59870837038805,50.60841583255951,51.665901337666355,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.341441869735718,15.23053789138794,15.211463689804075,15.26839542388916,15.280240058898926,0,0,0,0,0,0,0,0,0,0,0.5001060962677002,,,0
11,11,11,11,11,11,11,51.78478842512675,51.93543702803565,51.23870837038806,48.008415832559514,52.57256800433302,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.22596526145935,15.345965385437012,15.074764966964722,15.32162308692932,15.323755025863647,0,0,0,0,0,0,0,0,0,0,0.4013428688049316,,,0
12,12,12,12,12,12,12,52.61145509179341,52.45543702803566,52.7053750370547,53.27508249922617,54.33256800433302,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.269171476364136,15.205163478851318,15.10347318649292,15.2330482006073,15.259124517440796,0,0,0,0,0,0,0,0,0,0,0.5040812492370605,,,0
13,13,13,13,13,13,13,55.38478842512676,50.40210369470232,55.145375037054706,41.581749165892845,52.37256800433302,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.287499904632568,15.223161220550535,15.199180841445925,15.02175521850586,15.226972818374634,0,0,0,0,0,0,0,0,0,0,0.4027657508850097,,,0
14,14,14,14,14,14,14,56.238121758460075,49.93543702803565,54.252041703721375,52.11508249922617,52.93256800433303,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.18925642967224,14.96510362625122,14.990746259689333,14.854619979858398,15.32135534286499,0,0,0,0,0,0,0,0,0,0,0.5065979957580566,,,0
15,15,15,15,15,15,15,56.70478842512674,52.40210369470232,55.038708370388036,55.16841583255951,53.02590133766637,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.304921865463257,15.141441583633425,15.167107582092283,15.372236013412476,15.11929178237915,0,0,0,0,0,0,0,0,0,0,0.3733818531036377,,,0
16,16,16,16,16,16,16,55.81145509179342,58.495437028035646,55.67870837038803,53.955082499226165,51.43923467099969,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.076735019683838,15.352816104888916,15.27148413658142,15.157721996307371,15.25657606124878,0,0,0,0,0,0,0,0,0,0,0.3972377777099609,,,0
17,17,17,17,17,17,17,57.291455091793416,52.25543702803565,53.9853750370547,54.328415832559514,56.105901337666346,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.266661643981934,15.132030963897703,15.195346593856812,15.214683294296265,15.097579956054688,0,0,0,0,0,0,0,0,0,0,0.3990051746368408,,,0
18,18,18,18,18,18,18,57.50478842512675,56.042103694702305,56.67870837038803,55.90174916589283,54.079234670999696,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.224414587020874,15.254160165786743,15.194978952407835,15.089128017425535,15.12011981010437,0,0,0,0,0,0,0,0,0,0,0.40087890625,,,0
19,19,19,19,19,19,19,55.91812175846009,56.028770361368984,50.492041703721384,55.14174916589286,57.745901337666346,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.079461097717283,15.243539810180664,15.20258331298828,15.323634147644045,15.15046453475952,0,0,0,0,0,0,0,0,0,0,0.3988015651702881,,,0
20,20,20,20,20,20,20,55.411455091793414,57.81543702803566,49.33204170372137,54.128415832559504,57.37256800433302,51.27346554536437,50.71272383258099,50.92459289966671,47.59003638061576,52.12986988494736,51.0,51.33333333333333,51.0,48.0,52.33333333333333,50.0,0.2171,50.0,15.228557586669922,15.25417423248291,15.27683424949646,15.185059547424316,15.178168296813965,0,0,0,0,0,0,0,0,0,0,0.4038484096527099,,,0
21,21,21,21,21,21,21,54.19812175846009,57.722103694702305,57.51870837038805,54.14174916589286,55.945901337666356,45.606798878697695,49.71272383258099,48.25792623300004,46.92336971394909,45.46320321828069,45.33333333333333,50.33333333333334,48.33333333333333,47.333333333333336,45.66666666666666,50.0,0.2171,50.0,15.27820324897766,15.234867572784424,15.091107845306396,15.269833326339722,15.201828956604004,0,0,0,0,0,0,0,0,0,0,0.399397611618042,,,0
22,22,22,22,22,22,22,58.14478842512675,57.802103694702325,57.58537503705472,50.48841583255951,56.3192346709997,51.94013221203104,52.712723832581,49.92459289966671,50.25670304728242,49.79653655161403,51.66666666666667,53.333333333333336,50.0,50.66666666666666,50.0,50.0,0.2171,50.0,15.175334930419922,15.12662935256958,15.38182806968689,15.455143213272097,15.198251962661743,0,0,0,0,0,0,0,0,0,0,0.2226772308349609,,,0
23,23,23,23,23,23,23,58.41145509179343,56.93543702803565,56.0253750370547,53.715082499226185,56.919234670999685,51.94013221203104,48.046057165914334,49.59125956633336,45.923369713949086,48.12986988494737,51.66666666666666,48.66666666666666,49.66666666666666,46.33333333333333,48.33333333333334,50.0,0.2171,50.0,15.194269895553589,15.131496667861938,15.218900442123411,15.142655611038208,15.15409517288208,0,0,0,0,0,0,0,0,0,0,0.4036219120025635,,,0
24,24,24,24,24,24,24,57.19812175846009,59.54877036136898,57.0253750370547,55.60841583255952,57.47923467099969,50.606798878697695,51.046057165914334,53.59125956633336,47.92336971394909,50.12986988494736,50.33333333333334,51.66666666666667,53.66666666666666,48.333333333333336,50.33333333333334,50.0,0.2171,50.0,15.219491958618164,15.054748773574827,15.010332107543944,15.219685554504396,15.218865871429443,0,0,0,0,0,0,0,0,0,0,0.4002711772918701,,,0
