,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,0,0,0,0,0,13.704788425126734,17.28210369470232,18.452041703721353,16.981749165892843,14.012568004333016,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,14.982161283493042,15.190640687942505,15.045167207717896,15.115102291107178,14.912437915802002,0,0,0,0,0,0,0,0,0,0,0.50177001953125,,,0
1,1,1,1,1,1,1,23.14478842512674,12.06877036136899,22.79870837038803,16.82174916589284,21.479234670999677,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.1357102394104,15.20021915435791,15.041180849075316,14.977567195892334,14.952510356903076,0,0,0,0,0,0,0,0,0,0,0.3982114791870117,,,0
2,2,2,2,2,2,2,28.891455091793407,24.335437028035653,26.10537503705468,24.688415832559507,24.959234670999685,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.293877601623535,15.313981533050535,15.328061819076538,15.130637645721436,15.273142337799072,0,0,0,0,0,0,0,0,0,0,0.3984758853912353,,,0
3,3,3,3,3,3,3,29.651455091793395,27.73543702803566,27.67870837038803,21.581749165892838,28.279234670999685,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.189434289932253,15.078243017196655,15.356136322021484,15.21092963218689,15.164446830749512,0,0,0,0,0,0,0,0,0,0,0.5017855167388916,,,0
4,4,4,4,4,4,4,30.011455091793394,29.73543702803566,30.97204170372137,30.115082499226176,28.785901337666353,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.13750147819519,15.157038450241089,15.301516771316528,15.254178285598757,15.278583765029907,0,0,0,0,0,0,0,0,0,0,0.4047741889953613,,,0
5,5,5,5,5,5,5,32.67812175846007,26.70877036136899,34.63870837038805,35.43508249922619,33.41256800433302,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.228088140487673,15.16698932647705,15.06559681892395,15.24186658859253,15.268269300460815,0,0,0,0,0,0,0,0,0,0,0.3979439735412597,,,0
6,6,6,6,6,6,6,38.17145509179342,38.78877036136899,38.838708370388055,34.78174916589284,38.30590133766634,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.225342988967896,15.2639319896698,15.344151973724363,15.215060472488403,15.59000277519226,0,0,0,0,0,0,0,0,0,0,0.4003217220306396,,,0
7,7,7,7,7,7,7,43.50478842512675,39.52210369470233,36.55870837038806,40.92841583255951,39.425901337666346,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.170417308807371,15.216295957565308,15.173444032669067,15.197031497955322,15.298076152801514,0,0,0,0,0,0,0,0,0,0,0.5022704601287842,,,0
8,8,8,8,8,8,8,49.46478842512675,38.962103694702314,42.8253750370547,46.03508249922617,43.425901337666346,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205169200897217,15.29154658317566,15.143331050872805,15.23760199546814,15.296299457550049,0,0,0,0,0,0,0,0,0,0,0.5035386085510254,,,0
9,9,9,9,9,9,9,48.33145509179342,51.38877036136899,49.825375037054705,47.9684158325595,44.852568004333015,0.2734655453643652,0.0,0.0333275005740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205376148223875,15.151497840881348,15.21903109550476,15.181700706481934,15.446735858917236,0,0,0,0,0,0,0,0,0,0,0.4981765747070312,,,0
