,client_accuracy_4,client_accuracy_3,client_accuracy_2,client_accuracy_1,client_accuracy_0,client_loss_4,client_loss_3,client_loss_2,client_loss_1,client_loss_0,client_accuracy_per_epoch4,client_accuracy_per_epoch3,client_accuracy_per_epoch2,client_accuracy_per_epoch1,client_accuracy_per_epoch0,client_loss_per_epoch4,client_loss_per_epoch3,client_loss_per_epoch2,client_loss_per_epoch1,client_loss_per_epoch0,client_attack_4,client_attack_3,client_attack_2,client_attack_1,client_attack_0,client_auc_4,client_auc_3,client_auc_2,client_auc_1,client_auc_0,server_attack,server_accuracy,server_auc,client_layer_leakage_4,client_layer_leakage_3,client_layer_leakage_2,client_layer_leakage_1,client_layer_leakage_0,server_layer_leakage,client_round_duration_4,client_round_duration_3,client_round_duration_2,client_round_duration_1,client_round_duration_0,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,39.85333333333333,22.759999999999998,42.053333333333335,50.96000000000001,28.16,,,,,,"[52.5, 35.0, 35.0, 62.5, 39.85333333333333]","[16.9811320754717, 20.754716981132077, 66.0377358490566, 54.71698113207547, 22.759999999999998]","[36.507936507936506, 44.44444444444444, 55.55555555555556, 57.14285714285714, 42.053333333333335]","[53.125, 56.25, 57.03125, 67.96875, 50.96000000000001]","[37.43589743589744, 37.94871794871795, 40.51282051282051, 34.35897435897436, 28.16]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.0,{},{},{},{},{},{},8.361256122589111,10.927253484725952,12.69424033164978,29.48061966896057,54.426538944244385,0,0,0,0,0,0,0,0,0,0,0.061299800872802734,,,0
1,38.49333333333333,48.88,44.45333333333333,50.25333333333334,37.89333333333333,,,,,,"[15.0, 70.0, 72.5, 57.49999999999999, 38.49333333333333]","[24.528301886792452, 56.60377358490566, 62.264150943396224, 43.39622641509434, 48.88]","[65.07936507936508, 71.42857142857143, 69.84126984126983, 77.77777777777779, 44.45333333333333]","[55.46875, 60.9375, 57.03125, 62.5, 50.25333333333334]","[40.51282051282051, 34.87179487179487, 41.02564102564102, 44.1025641025641, 37.89333333333333]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562,0.0,{},{},{},{},{},{},8.501522064208984,11.027323246002197,12.844574928283691,29.408632040023804,54.077473640441895,0,0,0,0,0,0,0,0,0,0,0.054407358169555664,,,0
2,49.666666666666664,50.093333333333334,45.49333333333333,57.56,40.160000000000004,,,,,,"[57.49999999999999, 72.5, 70.0, 72.5, 49.666666666666664]","[52.83018867924528, 58.490566037735846, 62.264150943396224, 64.15094339622641, 50.093333333333334]","[58.730158730158735, 58.730158730158735, 68.25396825396825, 77.77777777777779, 45.49333333333333]","[60.9375, 61.71875, 62.5, 63.28125, 57.56]","[45.12820512820513, 45.12820512820513, 49.743589743589745, 53.84615384615385, 40.160000000000004]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4594,0.0,{},{},{},{},{},{},8.462830781936646,11.05154538154602,12.886017799377441,29.503077507019043,53.90454912185669,0,0,0,0,0,0,0,0,0,0,0.06046795845031738,,,0
3,48.82666666666667,55.89333333333333,54.06666666666666,60.28,42.02666666666667,,,,,,"[62.5, 77.5, 77.5, 70.0, 48.82666666666667]","[45.28301886792453, 56.60377358490566, 77.35849056603774, 75.47169811320755, 55.89333333333333]","[66.66666666666666, 79.36507936507937, 80.95238095238095, 80.95238095238095, 54.06666666666666]","[57.03125, 67.96875, 73.4375, 77.34375, 60.28]","[48.205128205128204, 56.41025641025641, 54.871794871794876, 61.53846153846154, 42.02666666666667]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4981,0.0,{},{},{},{},{},{},8.43097972869873,10.971068382263184,12.905152320861816,29.33848786354065,54.425930976867676,0,0,0,0,0,0,0,0,0,0,0.060468196868896484,,,0
4,58.666666666666664,53.29333333333334,55.90666666666667,55.96,42.306666666666665,,,,,,"[70.0, 65.0, 90.0, 85.0, 58.666666666666664]","[62.264150943396224, 77.35849056603774, 83.01886792452831, 75.47169811320755, 53.29333333333334]","[61.904761904761905, 66.66666666666666, 71.42857142857143, 69.84126984126983, 55.90666666666667]","[71.875, 69.53125, 76.5625, 73.4375, 55.96]","[55.38461538461539, 58.97435897435898, 62.05128205128205, 61.53846153846154, 42.306666666666665]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6282,0.0,{},{},{},{},{},{},8.408679246902466,10.889782190322876,12.81104326248169,29.876636743545532,54.05278038978577,0,0,0,0,0,0,0,0,0,0,0.06026816368103027,,,0
5,59.45333333333333,42.02666666666667,61.413333333333334,63.21333333333333,49.86666666666667,,,,,,"[67.5, 77.5, 67.5, 82.5, 59.45333333333333]","[67.9245283018868, 50.943396226415096, 73.58490566037736, 75.47169811320755, 42.02666666666667]","[77.77777777777779, 76.19047619047619, 73.01587301587301, 84.12698412698413, 61.413333333333334]","[72.65625, 71.875, 67.1875, 78.90625, 63.21333333333333]","[55.8974358974359, 66.15384615384615, 65.12820512820512, 62.56410256410256, 49.86666666666667]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382,0.0,{},{},{},{},{},{},8.476621866226196,10.989882230758667,12.73044228553772,29.72802472114563,54.203946590423584,0,0,0,0,0,0,0,0,0,0,0.06246542930603027,,,0
6,59.46666666666667,52.626666666666665,56.97333333333333,61.46666666666667,50.693333333333335,,,,,,"[67.5, 75.0, 72.5, 67.5, 59.46666666666667]","[67.9245283018868, 84.90566037735849, 73.58490566037736, 83.01886792452831, 52.626666666666665]","[87.3015873015873, 79.36507936507937, 90.47619047619048, 87.3015873015873, 56.97333333333333]","[71.875, 75.78125, 75.78125, 77.34375, 61.46666666666667]","[54.35897435897436, 62.05128205128205, 60.51282051282051, 62.56410256410256, 50.693333333333335]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043,0.0,{},{},{},{},{},{},8.470623016357422,10.97259521484375,12.871001720428467,29.362200260162354,54.40457057952881,0,0,0,0,0,0,0,0,0,0,0.0604403018951416,,,0
7,59.45333333333333,52.61333333333334,57.17333333333333,61.94666666666667,46.42666666666667,,,,,,"[90.0, 95.0, 87.5, 87.5, 59.45333333333333]","[66.0377358490566, 73.58490566037736, 71.69811320754717, 71.69811320754717, 52.61333333333334]","[71.42857142857143, 76.19047619047619, 85.71428571428571, 90.47619047619048, 57.17333333333333]","[72.65625, 76.5625, 82.03125, 79.6875, 61.94666666666667]","[66.15384615384615, 69.23076923076923, 74.87179487179488, 69.74358974358974, 46.42666666666667]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624,0.0,{},{},{},{},{},{},8.453966856002808,10.91543698310852,12.76266598701477,29.36902618408203,53.837158203125,0,0,0,0,0,0,0,0,0,0,0.05957651138305664,,,0
8,41.30666666666667,58.42666666666667,58.32000000000001,59.94666666666667,50.17333333333334,,,,,,"[77.5, 82.5, 77.5, 87.5, 41.30666666666667]","[71.69811320754717, 84.90566037735849, 75.47169811320755, 67.9245283018868, 58.42666666666667]","[90.47619047619048, 88.88888888888889, 87.3015873015873, 92.06349206349206, 58.32000000000001]","[73.4375, 82.8125, 85.15625, 80.46875, 59.94666666666667]","[62.56410256410256, 72.3076923076923, 62.56410256410256, 72.3076923076923, 50.17333333333334]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.0,{},{},{},{},{},{},8.470280170440674,10.875036716461182,12.723641157150269,29.500833749771118,54.38101625442505,0,0,0,0,0,0,0,0,0,0,0.0628657341003418,,,0
9,60.546666666666674,60.93333333333333,58.13333333333334,62.32,48.946666666666665,,,,,,"[65.0, 92.5, 90.0, 77.5, 60.546666666666674]","[88.67924528301887, 90.56603773584906, 86.79245283018868, 73.58490566037736, 60.93333333333333]","[80.95238095238095, 85.71428571428571, 84.12698412698413, 92.06349206349206, 58.13333333333334]","[82.8125, 83.59375, 89.0625, 82.8125, 62.32]","[61.02564102564103, 67.6923076923077, 69.74358974358974, 71.28205128205128, 48.946666666666665]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755,0.0,{},{},{},{},{},{},8.405774354934692,10.990113973617554,12.844868898391724,29.792237520217896,54.28038001060486,0,0,0,0,0,0,0,0,0,0,0.060579776763916016,,,0
